Chill rakh. Nahi to ‘mohan pyare’ nahi jaagega! | STD
Phir apne friend se baat kijiye. Unhe court me depose karne ko kahiye. This letter doesnt look good.. | STD
Main try karta hoon. | STD
Arvind, When are you preparing Siras for the cross examination? | STD
Today sir? Kya aaj shaam ek choti meeting kar sakte hain? Saat baje. | STD
Saat baje? | STD
Koi problem hai? | STD
Saat baje, Guru Dutt ki ‘Pyasa’ book ki hain cable par...I am a very much fan! | STD
Kab se tumhe bula rahi hoon! | STD
Kya hain? | STD
Anything on My Name Is Khan? | STD
Main apna shift kar chuka hoon. I’m off duty. | STD
SRK Sena ke saath mandvali kar raha hain, twitter pe. He says he regrets the IPL tweets.. | BOM
Good. Bhejo mujhe... | STD
Of course. Isse Bharat ka bhavishya zarur badlega. | STD
Tashi, woh jo tune Aligarh mein photos liye the, woh bhej na... | STD
Yeh log andar kaise ghusse? | STD
Utkarsh, mein Indian Chronicle se Deepu bol raha hoon. | STD
Yaar, woh video mil sakta hain? Siras aur rikshewalle ka? | STD
Iska matlab kya hain? | STD
Tum jaldi aa gaye? | STD
Meri aaj se shift change hain... | STD
Woh aunty ki poti hain, aur uske friends. Woh abse yaha tuitions lene wali hain... | STD
Mere kamre mein? | STD
Problem kya hain? Tum ek dedh ghanta late aa jana. | STD
But wahan meri personal cheeze hain? | STD
Koi nahi chuega aapki personal cheez. | STD
Dekho, agar private space chahiye, to khud ka makaan rent karlo. PG mein to adjust karna padega. | STD
Yahan kyun aaye ho? | STD
Kya mein andar aa sakta hoon? | STD
Dekho Siras, aajtak meri family se koi police station ya courtroom nahi gaya! Humara naam keechad mein mat uchalo please. | STD
Mujhe bhi bura lag raha hain Sridharan. Par woh us letter ko mere against use kar rahe hain. | STD
To tumhe court jaane ki kya zarurat thi?? Maine kaha tha na ek-do mahine mein mamla apne aap thanda ho jayega? | STD
Aur koi chara nahi reh gaya tha... | STD
Ab yeh ek public tamasha ban chuka hain Siras. Sorry, par tumhe isse akele bhukatna hoga. | STD
Sridharan’s wife comes in. Siras smiles at her, she doesn’t acknowledge him. | STD
Khaana thanda ho raha hain. | STD
Aap andar nahi jaa sakte? | STD
Kyon bhai? Yeh mera ghar hain? | STD
Aapko manahi hain. Makaan-malik se baat kijiye. | STD
Aapko ghar khali karna padega. Abhi ke abhi. | STD
Kyun? | STD
Yahan bachelor log allowed nahi hain. Aapke agent ne jhoot kaha tha ki aap shaadi-shuda hain. | STD
Magar mein shaadi-shuda hoon. Bas hum saath nahi rehte... | STD
Yaha sirf families ko rehne ki anumati hain. Aap kal aake samaan le jaiye. | STD
Tujha aaila! Bhenchod, kya samajhte hain tum log? Kahi tari raada nahi kele tadhipar maala traas dete! | BOM
Mein deposit dele hote...! Registration ka paisa kyon liya?? | STD
Mr Siras ne shadi-shuda hone ka natak karke, apne padision ke aankhon mein dhool jhonka hain. Aur jab unhe pata chala ki raat-raat ko gair mard unke yaha aa rahe hain, to naturally unhone complaint ki. | STD
Aisi anaitik activities ka prabhav unke bacho par kyon pade? | STD
First of all I cant understand ki yeh log Mr Siras ke ghar mein kyon jhank rahe the?? Aur anaitik activities?? Kiski ‘morality’ ki baat ho rahi hain yaha? Har ek vyakti ‘naitikta’ ka alag arth nikalta hain. | STD
Joh shakhahari hain, woh maas khane wale ko anaitik samajhta hain. | STD
Shaadi-shuda log, divorce lene waloh ko anaitik samajh sakte hain. Naitikta ki seema kya hain?? Aise to saare desh ko ‘immoral conduct’ ke jurm mein jail ke andar hona chahiye! | STD
Hum yaha kisi ek vyakti ke morality ki baat nahi kar rahe hain Mr Grover. Yaha ek 135 saal purani sanstha ke samuhik naitikta ki baat ho rahi hain! | STD
There is no such thing as collective morality, Nitaji. I would like the honorable judge to refer to Delhi High Court’s historical July 2009 judgment legalizing homosexuality. | STD
Us ladai mein bhi vipaksh ka pramukh mudda tha... ‘morality’! Humne argue kiya tha ke ‘naitikta’ ki samvaidhanik seema hona bahut zaruri hain. It must have constitutional limitations! Agar isse aspasth choda gaya, to log apne neeji fayde ke liye iska durupyog kar sakte hain. | STD
Kshama chahti hoon Mr Grover, Aap shayad jante nahi ki Section 377 ke jis amendment ki aap baat kar rahe hain, woh Delhi High Court ka order hain. Yaha Allahabad High Court mein aisi koi tabdeeli nahi hui, aur iss court mein homosexuality abhi bhi gunah mana jata hain! | STD
Nitaji, Bharatiya samvidhan sab ke liye samanya hain. Desh ke kisi bhi High Court ka order, India ke har ek state mein applicable hain... jab tak ki us state ke high court mein usse challenge aur overrule na kiya jaata. Therefore, the Delhi High Court order, legalizing homosexuality, holds in this court too! | STD
Thoda messy area hain. Magar yaha sab suvidha hain. Paas mein stainless steel ki badi factory bhi hain. Best taale milenge wholesale mein. | STD
Makaan maalik bahar-gao rehte hain. Yaha problem nahi honi chahiye. | STD
Bas guest-log mat laiye. | STD
Registration ke paise? | STD
Tashi, Mereko conference room mein mil. | DEL
Main ek friend ke saath tha. Uska khud ka cycle-rikshaw hain. Hum hall mein chai pee rahe the... | STD
Sirf chai pee rahe the? | STD
Jee. Kuch der baad, hum bedroom mein chale gaye...picture dekhne. | STD
Aapne kapde pehne hue the? | STD
Garmi thi...to shirt-pant utarkar baithe the. | STD
Acha, garmi ke wajah se. Phira kya hua? | STD
Mujhe nahi pata tha, ki teen log mere flat mein already ghus chuke the. | STD
Bhag mat! Bhag mat! | DEL
Video lene de behenchod, press waale hain! | DEL
Un logon ne apne aap ko NEWS100 channel se bataya. Woh humpar kud pade. Dande se maar rahe the, khaas karke Irrf...mere friend ko. Mujhe kapde bhi pehene nahi diya... | STD
Jab maine poocha ki woh aisa kyon kar rahe hain, toh ek ne kaha ‘complaint aayi hain. Family society mein aise kaand karte ho! Kal TV par dikhayenge.’ | STD
Phir zabardasti humme ajeeb positions mein khada karwakar, humari photos nikali. | STD
Main haath jodkar inse rukne ko request kar raha tha, jab darvaza khula, aur mere University ke chaar colleagues, mere bedroom mein ghus aaye. | STD
Kya aap court ko unke naam bata sakte hain? | STD
Ji. Proctor--Dr. Zuber Khan, Dy. Proctor--Dr. Feroz Majid, University PRO, Dr. Shadab Qureshi aur Media Advisor--Prof. A.K. Murtuza. | STD
Unko mere kamre me dekh, main chauk gaya. Maine kisiko na phone kiya tha, na hi maine kisise madat mangi thi. Yeh chhar log mujhe ghurte reh gaye, kisini mere kapde bhi nahi lautaye. Phir mere colleagues ne media-walon ko alag kamre mein bulaya. Waha unke beech kuch baat hui aur media-waale chale gaye. | STD
Maine Shadab Qureshi se vinnati ki ke woh is mamle ko na badhaye. | STD
Unhone ashwasan diya ke woh tape, jo ab unke paas thi, kabhi public tak nahin pahuchegi. Unhone yeh bhi kaha, ke uss raat ke baare mein woh kisi ko nahi batayenge. | STD
Agli subah, har local newspaper mein yeh kahani chhap gayi, mere photo ke saath. Aur mujhe suspend kiya gaya. | STD
Rikhshawalla aapke kya lagte the? | STD
Mera friend tha. | STD
Aapke friend ke saath aapka kya rishta tha, zara court ko batayenge? | STD
Objection. Iska is case se koi taluk nahin... | STD
It has everything to do with our case your honor. Ek family area mein, aap der raat ko kis tarah ke logon ko ghar invite kar rahe hain? Yeh jaan-na zaruri hain. | STD
Aap jaise senior professor aur ek kum-jaati ke Muslim ladke ke beech, kaisi dosti ho sakti hain? | STD
Hum music sunte the, kabhi picture dekhte the ... | STD
Kya aap rikshawalle ko sex karne ke liye paise bhi dete the... | STD
Aapki umar kya hogi? 63-64? | STD
Siras reaches for a glass of water, his hands are shaking. | STD
Is umar mein aap yaun-sambandh kaise rakh paate hain? | STD
Mujhe aur baat nahi karni! | STD
Kaise nahi karni Siras saab, aapne itne bade institution par ilzaam lagaye hain. Kuch sawalon ka jawab to dena padega aapko! | STD
Accha, yeh bataiye...mard kaun tha aur female kaun? Aap top hain, ya bottom? | STD
Ae! Jaasti bolu naka. Tujha aai la, aise baat karte hain senior teacher se? Woh log sahi the kya, jo video nikalne aaye! Madarchod log, mere bedroom mein kaise ghusse woh... | BOM
Meri client ki tabiyat kaharab hogayi hain your honor. Inhe high BP ka problem hain... | STD
I don’t care. Aage se aisi bhasha nahi chalegi mere courtroom mein! | STD
Jis bhasha ka Mr Siras ne prayog kiya hain, aur jis kisam ke logon ko yeh ghar le aate hain, usse saaf zahir hota hain ki Mr Siras ek family area mein rehne ke yogya nahi hain. That’s all your honor! | STD
Directly camera mein dekhiye. Studio ka feed neeche wale monitor pe dikhegi. | STD
Although court jaane mein inka fayda hai. Chaar hearings mein baat saaf ho jayegi ki ye kya deserve karti hain aur inko is company se kya milna chahiye. | STD
Yahan milne ka matlab yehi hai ki hum Mrs Khanna ki demands ko consider kar rahe hain. | STD
Humne aapko consider karne ko nahin kaha hai. Aapki authourity nahin hai consider karne ki. | STD
Excuse me hum jhagda karne ke liye nahin mil rahe hain | STD
Pakdaate jao, pakdaate jao Bhaisaab ke haat mein do. | STD
Main neeche se pass kar raha hoon. | STD
Tum chahadh jaayo pehle | STD
Arey tum meri tension mat lo, samaan andar karo jaldi Ye lo | STD
Hum keh rahe the doo go coolie ka samaan hai | STD
Bag dekho bag dekho girega | STD
Abhi aur bhi samaan hai? | STD
Aane do, aane do | STD
Ye lo, ye padko Haan | STD
Bahut riks hai bahut riks hai Samne dekhiye | EUP
Haan dekh rahi hoon, aap jaldi jaldi samaan leejiye | STD
Oh Oh teri Oh god Aaj to hadd hi ho gayee, line cross hi ho gayee thi aaj to Pata hai kya, aaj tak life mein ek train nahin chhooti meri Thank you Babaji, mera record tootne se bacha liya | DEL
Aa gayee hoon main andar. Ab to mera haath chhod do. Itni bhi sundar nahin hoon main. | STD
You know, mujhe Non AC mein chalna better lagta hai. Magar meri family Kehte hain tum ladki ho jaise mujhe hi nahin pata ki main ladki hoon. Bhai saab A2 hain na? | STD
Haan | STD
Thank you. Ab AC se ladki ka kya connection hai, ye mere palle nahin pada. | DEL
I mean koi pehli baari to akele travel kar nahin rahi hoon main More so is train mein Ye to samajh lo ki mera second home hai. | STD
Ticket dikhaana please. | STD
Hello Aap se baat kar rahi hoon. Arey? Ye meri seat hai. Twenty four. Kamaal hai? O boss | STD
Ye seat chaubis. Meri | STD
Ye passage waali seats koi nahin lena chahta, magar main insist karti hoon ki bhaiya passage waali seat hi do. | STD
Reservation waale uncle bade hairaan pareshaan ho jaate hain magar mera funda ye hai ki raaste ke nazdeek rehne | HUM
Mera safar hai na, is train ke saath khatm nahin hota. No. Aage jaana hai mujhe Bhatinda Mera ghar hai vahan, family hai Sab ki hoti hai, meri bhi hai Hai na? | STD
Bhatinde ki sikhni hoon main | DEL
Sab kehte hain Mumbai bada crowded hai. Arey? Crowded matlab kya? Crowd hum jaise logon se hi to banta hai? | STD
Khud bheed ka hissa hain aur takleef bhi khud hi ko hai. So funny | HUM
Main to ja rahi hoon Mumbai chhod ke hamesha ke liye. Aayee thi pata hai kab, jab Mumbai Bombay tha. Ek naam ke shaher mein aayi, doosre naam ke shaher se ja rahi hoon Achcha batao mujhe ye kya logic hui ki | STD
Hostel, hostel, hostel St Teresa’s boarding school hostel in Shimla, Missionary Hostel for College girls in Bombay Central, Government Girls Hostel on Marine Drive | STD
Mujhe kasam hai aaj ke baad kabhi hostel mein nahin rahoongi. Nafrat ho gayee hai mujhe hostels se. I hate hostels. I hate them. | HUM
I hope barsaat ke aane se pehle ye roads ki digging band ho jaye varna pata hai kya hoga? Anyway mujhe to fark nahin padta kyonki main rahoongi nahin yahan magar jo baaki janta hai yahan par | STD
Kya hua? Arey? | STD
Ye kya kar rahe ho? | STD
Chalti train ka door kabhi nahin kholte. Pata hai kya ho sakta hai? | STD
Mook ho, bol nahin sakte? | STD
Ya sharmeele type ke ho? Ya sirf budtameez ho? | HUM
Haan? | STD
Kuch to baat hai. Teen baari main pooch chuki hoon magar koi javaab hi nahin. | STD
Berth pe hai. Aati hoon. | STD
Ticket dekhaiye please. | STD
Aur door band kar deejiye. Ticket | STD
Ye tumhaari ticket dekhna chahte hain Inhien ticket dikhao. Kahan hai? Ticket? Ticket. Tee-ket | STD
Mere paas ticket nahin hai. | STD
Actually dekhiye kya hua ki iska plan jo hai na vo aakhri moment pe bana. Ticket banane ka time hi nahin tha. Vaise aap ko to pata hi hai ki train khaali hai. To aap ab inki ticket bana deejiye, no problem. Hai na? Bhaisaab aap convince ho gaye hain ya main aur boloon. | STD
Kahan ki ticket banaoon? | STD
Kahan jaana hai aapne? | STD
Ye train kahan jaati hai? | STD
Kya? | STD
Last stop. Dilli. Dilli ki ticket banaiye. Dekhiye, main aapko bata hi doo ki haadsa hua hai inke saath. Bura waqt hai. Tab hi ye Dilli. | HUM
Kya boss? Chakkar kya hai? Drugs shrugs lee hai? | DEL
Dekho aisa hai ki life mein koi problem hai to mujhe bata sakte ho. I don’t mind. Bata do. Bade saare dost mujhe apni problems batate hain aur main unhien solve karti hoon, pata hai? Us type ki hoon main agony aunt hoti hai na, magazines mein article aate hain? Vaisi To batao kya baat hai. Bolo. Batao batao, sharmao nahin. Batao kya problem hai. Bolo na. | STD
Tum ho meri problem. Tum Bolti ja rahi ho, bolti ja rahi ho Tumhien samajh mein nahin aa raha ki main tumse baat karne mein interested nahin hoon? Main nahin baat karna chahta tumse. Mujhe nahin janna hai ki tum Bhatinda se aayi ho ya Banaras se ab tak hostel mein rehti thi ya brothel mein. Mujhe maaf karo, please. | STD
Brothel vaali baat theek nahin thi. | STD
I’m sorry. Really I’m sorry. Mera vo matlab nahin tha. | STD
Main jaanti hoon. Clearly dikh raha hai ki maha upset ho tum kisi baat se. Tab hi mujhpar bhi upset ho gaye aur bakwaas karne lage. Magar it’s okay. Main bura nahin maan rahi hoon, haan? Actually aaj kal mujhe kisi baat ka bura nahin lagta. Pata hai kyon? Kyonki meri shaadi hone waali hai. Bahut jaldi. Aur suno, bhaag ke shaadi kar rahi hoon. Vo sikh nahin hai na, log manenge nahin. Magar shaadi ho jaane ke baad koi kya kar sakta hai? Ja ke pairon pe gir jaana hai unke, maaf to karna hi padega. Manali mein rehta hai vo. Shaadi ke baad hum pahadon mein rahenge. Mujhe na pahad bahut pasand hain. Really | STD
Ek to ye hill aur mountain ke beech fark kya hai mujhe aaj tak samajh nahin aayi. Bade hills mountain hote hain magar kitne bade? Koi aisi measurement hai? | STD
Bachpan se hi na mujhe shadi karne ka craze hai by god. Aur ab to main ruk hi nain sakti. Bas wait kar rahi thi ki mera college khatam ho jaye aur uski travel agency shuroo ho jaye. | STD
Last few years mein hi hua hai ye sab trains time par chalne lagi hain aur flights ke baare mein to ji jab bhi pata karo to delayed. Kamaal hai, agar humein delayed hi jaana hota to flight se kyon jaate? | STD
jab ki na joote achche nahin milte vahan Tab hi to main | STD
Arey | STD
Oye Train chhoot rahi hai. | DEL
Arey suno O hero Hello | STD
Naam kya hai? | STD
O bhaisaab | STD
Bhaisaab naam hai? | STD
Arey idhar dekho | STD
Aapke saath hai? | STD
Arey yaar | STD
O bhaisaab | STD
O behenji, kya kar rahi hain? | STD
Arey O mister, train chhoot rahi hai. Oye | DEL
O kaali pant O Bombay waale, suno Arey She reaches him, pushes him. He turns to her. | DEL
Paagal ho tum? Train jaa rahi hai, chalo. | STD
Kya Maro saale | DEL
Arey, arey, arey | STD
Arey, dekho to Dekho kya kar diya | STD
Bhaag rahi hai, iska harjaana kaun bharega? | STD
Arey chhodo train ja rahi hai | STD
Roko Train ko roko. Arey koi chain kheencho. Roko train ko Arey | STD
Arey itni moti aurat, itna bada tokra, kisi andhe ko bhi dikh jaaye aur ye paagal Kya jaane kis kis kone mein ghus gaye hain tamatar. Arey saamne se to main bhi le loongi udhar waale do | STD
Kis duniya mein ho tum, haan? Meri train miss kara dee hai tumne. Mera saara samaan, sab kuch chala gaya aur main in kapdon mein, slippers pehne, Barnagar naam ke station ke is godforsaken platform par khadi hoon aur ab main kya karoongi? Haan? | STD
Kisne kaha tha tumhein train se utarne ko? Tum apne kaam se kaam nahin rakh sakti? | STD
O Meri ghalti hai? Besharam Main tumhaari help kar rahi thi. Tumhein thank you bolna chahiye. Aur tum attitude dikha rahe ho? | STD
Okay. Thank you. Thank you ki tumne meri madad karne ki koshish ki. Theek hai? Ab mera peecha chhodogi? | STD
Peecha chhodogi? Achcha Itna aasaan nahin hai. Tumhaari vajah se meri train miss hui hai to ab tum mujhe Bhatinda pahunchaoge, mere ghar tak, aur mere saare saamaan ke saath? Ji haan. Main tumhein chhodne waali nahin hoon, koi doubt mat rakhna dil mein. Sikhni hoon main Bhatinda ki. | DEL
Arey Bhaag raha hai | STD
Arey padko Pakdo us aadmi ko. Chor hai, chor Bhaag raha hai chor, pakdo | STD
Ruk | STD
Hat | STD
Nalayak. Vardi utaar ke phenk do. | STD
Jaldi karo. | STD
Chalo, chalo, chalo. | STD
Haan haan ho gaya, sun lee oopar waale ne, ab chalo. | STD
Ye kya kar rahe ho tum? Aise train pakdenge hum? | STD
Train to aap kaise bhi na pakdenge. Ratlam hai agla tesan. Sau kilometer. | EUP
Zara gaadi rokna. | STD
Haan? | STD
Gaadi roko. | STD
Arey kya hua? | STD
Ek minute. | STD
Oh God. Thodi der ruk nahin sakte? | STD
Andar chalo. | STD
Arey, arey Ye kya kar rahe hain? | STD
Aaa aaaa Arey ek minute roko roko. | STD
Arey disturb mat karo, accident ho jayega. | STD
Mark three mark three ambassador hai Ae saab ae Arey please | STD
Shh shh shh. | STD
Please bol rahe hain Aap Eighty dekho, dekho Hil rahi hai, hil rahi hai | EUP
Tum tension mat lo, suno meri baat. | STD
Kya kar rahe ho? Zameen bech ke gaadi liye hain kheti se kuch mile hai kya? Bolo? | STD
Ye jo saab hain na, koi mamooli aadmi nahin hain Style dekh rahe ho inka? Bahut paise hain inke paas. | STD
Ye gaadi gayee to khel khatam. | STD
Aur kyonki hum sab is situation mein inki vajah se hai, to kuch bhi tootega, uska poora damage ye denge. Main dilvaoongi, ghabrao mat. | STD
Paisa. Arey bhaag rahe hain | STD
Arey paisa do Ruko | STD
Roko unko, roko. Bhaag ke kahan jaoge? Ruko | STD
Jao andar. | STD
Aur tum? | STD
Dekho. Ab aur meri help mat karna. Please. Apne kaam se | STD
Mera paisa paisa do, mera paisa baaki hai. | STD
Abey ruk. | STD
Dekho kitna hai | STD
Change borrow kar sakti hoon Paani lena hai. | STD
Aur hai na? | STD
Train mein return karti hoon | STD
Tu chup-chaap khada reh, main de raha hoon paise. | STD
Paani. | STD
Saans band ho gayee by god. Cola shola sab apni jagah par hai par paani ka kaam paani hi karta hai. Kehte hain na best things in the world are free Vaise ab paani to free raha nahin Kitne ka hai? | DEL
Chaudah rupiya | STD
Kyon? Railway ke daam to kam hote hain. | STD
Yehi rate hai | STD
Achcha? Consumer court se poochoon kya rate hai? Hain? Ulloo banaate ho? | STD
Do rupiya ke liye itna jhik-jhik? | STD
Do rupaye kuch nahin hote to chori kyon kar rahe ho? | STD
Chori | STD
Aur kya? Aur kehte ho main jhik-jhik kar rahi hoon? Paise do vaapas. | STD
Roko Train ko roko. Arey koi chain kheencho. Roko train ko Arey | STD
Kota hai agla station. Main vahan ke station master ko inform kar doonga. Master Vo aapka samaan rakh lenge. | STD
Aur to kuch nahin ho sakta hai. | STD
Main vahan pahunchoongi kaise? Shit. | STD
Kaun bola train se utarne? | STD
Hoshiyar rehna chahiye tha. Ab kya karogi? | STD
Javani ka josh. Samajhte nahin ho. Nahin. Bilkul nahin. Dekho | STD
Zindagi rail ki patri hai. Ek inch ka bend aur aage chal ke meelon ki doori. Ab dekho. Ek choti si bhool tumhaari saari zindagi badal sakti hai. | STD
Meri bhi kayee train chhooti hai. Par un dinon main mard tha matlab ki mard hoon main, ab bhi par tum ladki ho. Akeli ladki khuli hui tijori hoti hai. Tumko pata hai kya ho sakta hai tumhaare saath? Pata hai? Main baata hoon. Dekho | STD
Aapse poochhna tha aap jo ye sab bol rahe hain, iske paise charge karte hai ya ye muft ka gyaan hai? | STD
Nahin ye to muft hai | STD
Good Kyonki chillad nahin hai mere paas. Dekho Buddhe Bakwaas band karo aur apna kaam karo. Kota ko message bhejo, baaki meri problem hai, main samhaal loongi. Chalo phone milao. | STD
Aapka paani. | STD
Bahut bura hua. | STD
Ka baat hai bhai? Ka hua? | STD
Train chhoot gayee bechari ki. | STD
Arey arey. | STD
Subah tak doosri koi train bhi nahin hai. | STD
Dhat teri ki. Akeli hai? | EUP
Haan. | STD
Tch tch tch tch. Ab ka karegi ye? | STD
Vohi to. Tum to jaante ho. Akeli ladki khuli hui tijori ke jaisi hoti hai. | STD
Suno tum. Natak mat karo samkje? Phuto yahan se. Chalo. | DEL
Arey? Hum koi bam hain jo phoot jayenge? Samajhne ki koshish keejiye. Iske pahle ki koi apka ghalat fayda utha le, hum soche ki hum help kar dete hain. | STD
Raat ko yahan mat rehne dena. Thoda kasht hoga tumko magar kaheen le jao isko. | STD
Haan aur koi upay bhi nahin hai. | STD
Zyada smart banne ki koshish mat karo, samjhe? Chalo niklo yahan se. Vendor | STD
Hadd ho gayee. Matlab ki sarafat ka jamaana hi nahin raha. | HUM
Batao | STD
Hum aapko sahi jagah le ja rahe hai aur aap | STD
Shut up. Chamaat maroongi aur bakwaas kee to. | DEL
Kha le chamaat. Isi bahaane choo to legi kam se kam. | EUP
Theek hai. Aapko isi mein khushi milti hai to maariye humein. | HUM
Armaan poore kar leejiye aap. Maariye. | HUM
Kya hua? Kahan chaleen? Arey maariye na Nahin hum to aaj chamaat kha ke hi rahenge. | HUM
Suno | STD
Chal. | STD
Kya hua? Chal. | STD
Ek aadmi main. Full night, jagah meri. | STD
Nahin. Main | STD
Kya? | STD
Main vo nahin hoon. | STD
Kya nahin hai? | STD
Vohi | STD
Haan? | STD
Arey yaar tu bol na paisa main deta hoon. Nakhra kyon dikha rahi hai? | STD
O Anarkali. Sun idhar aa. | STD
Sun | STD
Kyon kasrat kara rahi hai raat ko? Paisa bol. Jo bhi hoga main doonga. Ruk ek minute ruk | STD
Arey? Ye kya natak kar rahi hai? | STD
Thank you babaji thank you. O god. Aaj pata nahin kya hone waala tha. Thank God. Thank you thank you thank you. | DEL
Phir se train miss kar dee? Haan? Aur ye joker kaun hai bike pe? | STD
Hi. Mera naam Geet hai. | STD
Aditya. | STD
Aditya. Pleased to meet you. Aur itni pleased by god main kisi se mil kar nahin hui jitni abhi tumse mil kar ho rahi hoon. Kyonki vo tum ho jiski vajah se ye saari problem shuroo hui hai. Kaha tha na maine koi doubt mat rakhna, main chooddongi nahin tumhein? | STD
Chhodoge tum mujhe ghar tak. Tumhaare wallet mein paise hain, dekh liya hai maine. Hum yahan kisi hotel mein subah hone ki wait karenge, phir Kota se samaan uthaenge, phir all the way to Bhatinda. Chalo | STD
Aa jao, aa jao. Ye kadve looks chalte-chalte bhi de sakte ho. Come. | STD
Ratlam. I mean come on. Hadd ho gayee yaar. Kya matlab hai iska, ki main Ratlam ki galiyon mein ghoom rahi hoon. Hain? Train se dekhti thi main ye ghar ye galiyaan. Zindagi bhi kamaal hai, hain na? | STD
Bahut mazaa aa raha hai na? Picnic par aaye hain hum log. Tumhein utha kar museum mein rakh dena chahiye. Tumhein dekhne ke liye ticket lagni chahiye. | STD
Aye hai. Kya baat hai. Aur tumhein kahan rakhna chahiye? Train mein ho magar pata nahin train kahan jaati hai. Anjaan kisi station mein utar jaate ho, phir pagalon ki tarah gaadi chala kar almost meri jaan le kar yahan pahunchte ho, aur yahan kya andhere raaste par akele chale ja rahe ho Ratlam ki galiyon mein. Yaar tumhaari problem hai kya aakhir, bata hi do ab. | STD
Sorry sorry, bhool gayee thi. Tum apne problems kisi se share nahin karte. Right, right. Bachchan ke fan ho kya? Angry young man. Aaj khush to bahut hoge tum. Hain? Agneepath, agneepath Batao na. Achcha favourite hero kaun hai tumhara bolo Arey ye to batao, ye to koi secret nahin hai | STD
Kya kar raha hoon main? Kahan aa gaya hoon? Kyon? | STD
Credit card accept karte ho? | STD
Credit Tarrif kya hai? | STD
Kya? | STD
Din ke kitne paise lete ho ek room ke liye? | STD
Aapko room ghante ke hisaab se chahiye? | STD
Jitna pooch raha hoon utna hi bolo. Ek din ka kitna charge hai? | STD
Din bhar ke liye kyon chahiye? Humein kaun sa din bhar rehna hai? | STD
Suno. Main baat kar raha hoon. | STD
Haan, bahut kamaal baat kar rahe ho. Paise pehle se kam hain aur Humein room ghante ke hisaab se chahiye. | STD
Geet | STD
Be practical yaar. Ismein sharam ki kya baat hai. Humein kuch hi ghanton ka kaam hai. Hum per hour pe room lenge. | STD
Kitne ghante ke liye? | STD
Do? Do ghante kaafi honge? | STD
Achcha chalo safe side teen ghante. Teen ghante to more than enough hain. | STD
Teen ghante. | STD
Okay. | STD
Kahan mili? | STD
Train mein. | STD
Train mein bhi? Train mein? Idea hai. | STD
Vaise ye kaisi lagi? | STD
Kaddak hai. Beauty. | EUP
Thank you. | STD
Kya khusar-phusar kar rahe the uske saath? | STD
Tum bahut badi cartoon ho. Pata hai tumhein? | STD
Ho sakta hai. Magar mujhe karate aata hai. | STD
To? | STD
Bus, bata rahi hoon. Brown belt hoon main. | STD
Oh, tumhein karate aata hai, matlab agar main tumhein rape karne ki koshish karoon to tum mujhe karate kar dogi. | STD
Ho sakta hai. I mean yes. Bilkul. Dekhne mein aisi lagti hoon magar bade saare logon ko maar giraya hai maine. | STD
Don’t worry. Main tumhein rape nahin karne waala hoon. | STD
Tum kar hi nahin sakte ho. | STD
Main karna chahta hi nahin hoon. | STD
Chaho bhi to nahin kar sakte. | STD
Tum kya mujhe chaabi laga rahi ho? Ki main rape attempt karoon? | STD
Nahin main bus clear kar rahi hoon. Tumhein koi wrong signal na mile. Station ke baahar maine tumhein hug kiya aur kaha kisi hotel mein chalte hain. Pata nahin tum kya soch rahe hoge Vo bhi tumhaare jaisa aadmi. | STD
Mere jaisa aadmi matlab? | STD
Bombay mein ghoomti hongi tumhaare aas paas us type ki girls. Magar main bata doon ki main bilkul vaisi nahin hoon. Sochna bhi mat. Old fashioned hoon main one man woman. Aur ye dekho Anshuman one and only, hamesha ke liye. | STD
Tumhein sun ke khushi hogi ki main bhi one woman man hoon. Okay? Aur ye ye dekho. | STD
Wow. Mast hai yaar. Bade lucky ho Aditya takes the wallet back, takes the photo out. | STD
Nahin Lucky nahin hoon. | STD
Hmm? | STD
Oh Ye problem hai. Is ladki ne tumhein dump kiya hai. | STD
Zindagi ne hi mujhe dump kar diya. | STD
Matlab? | STD
O god. The famous silence and all. Itna bada kya secret hai tumhaara? Maine to sab kuch bata diya tumhein. Tum kyon nahin bol sakte? | STD
Anyway. Dekho. Dekho isko. Is ladki ne tumhein ditch kiya hai na? Pakdo ek minute. | STD
Ye lo. Jala do ise. | STD
Oh come on. | STD
Nahin nahin. Jalao photo. | STD
Bachchon jaisi baat mat karo. | STD
Main bata rahi hoon, bachchon jaisi baat karo, jala do photo. Tumhein bahut achcha lagega. Believe me. Jala do saali ko. Ye lo maachis Jalao jalao no tension. Okay. Ab bathroom mein jao. Aur hamesha hamesha ke liye apni zindagi se ise flush-out kar do. Jao. | STD
Better lag raha hai? Haan? | STD
You know, actually achcha lag raha hai mujhe. Ye bewakoofi ka kaam kar ke You were right. | STD
Dekha Aditya smiles. | STD
Aur main tumhein sach bataoon? Dekhne mein bure nahin ho tum. Handsome ho yaar. Ameer bhi lagte ho. Is se to bahut better ladki mil jayegi tumhein ye to shit thi tumhaare aage. | STD
Bata rahi hoon main. Main ladki hoon ki nahin? Koi bhi ladki tumhaare oopar flat ho sakti hai. Tum us type ke ho ki dekho, main Anshuman se shaadi karne waali hoon and all that but agar vo meri life mein nahin hota to you never know shayad main bhi tumse pat jaati. Just imagine. | STD
Kya hua? | STD
Tum apne aap ko bahut pasand ho, nahin? | STD
Bahut Main apni favourite hoon. | STD
Kya hua? | STD
I wish main tumhaare jaisa hota. | STD
