Bus yahi sapna mujhe baar baar aata thaki main udh raha hoon aakash mein pakshi ki tarah | STD
Kaun si dawai? | STD
Ek laal hai ek nili hai | STD
Aise thodhe hota hai jo kah diya usko karna bhi toh padhta hai | STD
main aapse pyar karta hoon kahne se toh kuchh saabit nahi hota na | DEL
pyar karna bhi toh padhta hai | DEL
pyar mein toh Shirin matka lekey chali gayi thi, usey thodhe hi pata tha matka kachha hai | STD
phoot gaya matka paani mein paani ho gaya – bechari Shirin doob gayi, toh phir kya hua | STD
dubara janam hoga Shirin ka | STD
Phir woh Laila ban gayi Phir woh Heer bani banti rahi mit ti rahi pyar usko nahi mila | STD
koi baat nahi hai kisi ko nahi milta… | STD
Iska yeh matlab thodhe hi hai ki koyi pyar na kare, ya ki pyar mein khot hai | DEL
ullu raat ko bolta hai  kyun bolta hai raat ko usko dumey ki beemari hai | STD
woh toh bechara saans nahi le paa raha hai | STD
apna Jagat doodh wala kahta hai milawat nahi karta milawat toh har cheez mein hai | STD
aasmaan se jab suraj ugta hai toh uskey laal rang mein peeley ki milwat hai, | STD
neend mein sapno ki milawat hai | STD
ab aadmi hai to shareer hai shareer hai toh ichha hai | STD
Raat ko sota hai ki nahi? | DEL
Haan so jaata hai thak ke phir subah uthte hi shuru ho jaata hai.. | DEL
Shibbo Babu iskey na dimag ki nass chadh gayi hai.. | DEL
Meri Bhabhi shaadi ho ke aayi thi na toh usko bhi shuru shuru mein aisa hi hua tha teen hafte mein apne aap theek ho gaya. | STD
Chadh jaati hai nass kabhi kabhi. | STD
Pata nahi bhaiya humne toh suni nahi aisi bimari kabhi.. | DEL
Koyi nahi milta toh baith ke paudho se baat karne lagta hai.. | DEL
Obama aa raha hai Obama! Itna shor macha rakha hai | DEL
Obama ko toh English bolni aati nahi kaise bolega? | DEL
Pahle Hindi sikhega tabhi toh English sikhega | DEL
seedi ek ek karke he toh chadhta hai aadmi bahut chhalang maarega toh gir jayega | STD
phir jana kahan hain jana toh kahin bhi nahi jab jana hi nahi toh kyun bhaag rahe ho aap? | STD
Thahar jao na thodhi der jo hai woh jaa raha hai aap kahin nahi jaa rahein hain | DEL
jaise ki train nikli hai station se train mein aap bahar main aap aagey chale gaye main toh wahin hoon | STD
lekin aapko lag raha hai main peechhey rah gaya main toh wahin khadha tha | STD
golgappe kha raha tha | DEL
phir agle din pet kharab ho gaya tha mera | STD
kisi ko bataya nahi lekin maine ki golgappe khaaye the nahi toh kalesh hota tha | DEL
Theek kah raha hai tu ekdum theek. | DEL
Bauji aap kya vigyan ke vipaksh mein ho? | STD
Main toh bhai gyan ke paksh mein hoon. | STD
Yeh kaisa gyan hai Bauji jo kisi cheez ko manta hi nahin hai? | STD
Yeh gyan hai indriyon ka Mann ka gyan hai Samajboojh ka gyan hai | STD
Bauji, vigyan ke chalte duniya chal rahi hai Sari sabhyata usi ki buniyad par khadi haii | STD
Log soch ke nakshe bana lete hainpul bana lete hain rocket bana lete hain.. | DEL
Flyover, pankha, kapde, car, scooter yeh sab dimag ki hi toh den hai | DEL
Aadmi ka dimag na hota, toh langoor hota aadmi.. | DEL
Sharma ji Aap pata hai mujhe kiski yaad dila rahe ho? | STD
Ek ganit ke master ji the apne pariwaar ke saath jaa rahe the doosre gaon | STD
Raaste mein ek nadi padi, unhone apne pariwaar ki ausat lambai naapi | STD
Woh chah feet ke the unki biwi 5 feet ki unke teen chhote bachche the. | STD
Toh bole ki humaare pariwaar ki ausat lambai 4 feet hai | STD
Nadi ki ausat gehrai 3 feet toh hum aaram se paar kar sakte hain | STD
Chal diye. Phir pata hai na kya hua? | STD
Beech mein jahan nadi 7 feet gahri thi sab doob gaye.. | STD
Isliye kahta hoon ki dimag ki sunoge toh doob jaoge.. | STD
Aur Bauji aap? Aap uss aadmi ki tarah ho jo ki ek gaon mein jaata hai jaise he bus se utarta hai | STD
dekhta hai saamne gobar pada hai | DEL
“Arre yeh kya hai? Lagta toh gobar hai | STD
Magar main kaise maan loon ki gobar hai” | STD
Soongh ke dekhta hai “haan bhai boo toh gobar jaisi hai, par main yakin kaise kar loo? Chhoo ke dekhta hoon” | STD
Chhoota hai, “haan bhai lagta hai gobar hai Magar yakeen nahi karunga jab tak chakh na loon” | STD
Utha ke chakh leta hai “Hai hai gobar hi hai chalo achcha hua pair nahi pada | STD
Lo Bauji Chakh lo.. | DEL
Haan chakhunga jalebi bhi aur gobar bhi! | STD
Aur jab chakh loonga tabhi manunga ki jalebi aur gobar mein antar hai!! | STD
Tum log sab nasamajh ho. | STD
Main aadimanav hoonlangoor hoon, jungli hoon pagal hoon lekin kum se kum zinda toh hoon | STD
Jeeta toh hoon tumhari tarah kaath ka ullu toh nahi hoon.. Zinda hoon.. | STD
Rishi nahi aaye? | DEL
Jab se gaye ho tum log woh toh ek baar bhi nahi aaye | STD
Aadhi beemari toh wahi hai unki | STD
Yeh subah naashtey ke baad yeh dopahar ko – aur yeh do raat ko soney se pahle.. | STD
Lekin Bauji jo doctor ne baat kahi usko kaise maan le | DEL
yeh aapke anubhav mein toh hai nahi.. | STD
Arre yeh blood pressure ke liye hai Nahi loge toh heart attack pad sakta hai BP bahut high hai | DEL
Hum kaise maan le? | STD
Arre Doctor hoon main! | STD
Honge Doctor humare Bauji nahi maante hain Hain na Bauji? | DEL
Theek kah raha hai tu Doctor sahib maine faisla kiya hai ki.. | DEL
Arre kya faisla kiya hai? Ki bistar pakad loge? | EUP
Bekaar ki oot patang sanak chadha rakhi hai | DEL
Doctor sahib main bataoon kya beemari hai inko Bolne ka rog laga hai.. | STD
Jab dekho nithallon ke saath baith ke badd badd kiye jaate hain | DEL
uski koi goli ho toh woh de do Aur yeh goli hum kha lete hain lao do humein | DEL
Kha lenge main kah rahi hoon na khaa lenge khaoge na Bauji? | DEL
250 rupaye.. | STD
Bhabhi kuchh paison waison ki zarurat ho toh.. | DEL
Arre nahi abhi toh Shammi ka bhi kaam lag gaya hai.. | STD
Chal rahi hai.. Phir inka provident fund ka bhi paisa aane wala hai.. | STD
Bata dena kuchh chahiye ho toh.. | STD
Haan haan kuchh sharam thodhe hi hai issmein apno se nahi lenge toh kis sey lenge? | STD
Aap jaa ke de aao na.. | STD
Arre maine de diya aur unhone le liya? Tum kya jaanti nahi ho bhai ko? | DEL
Mai toh dushman hoon na unka. Chhota bhai thode hi na hoon.. | STD
Achha theek hai mana hi toh kar denge Mil ke hi aa jaana.. | DEL
Arre naya ghar liya hai uski khushi unhe nahi honi chahiye?  | STD
Khushi toh door, baat tak nahi ki. Ek baar gale laga lete the,toh kuchh ghis jaata tha unka? | DEL
Tabiyat kharab.. | STD
Maloom hai tabiyat kharab hai maloom hai. Chala jaunga milne | STD
updesh dena band karo mujhe | DEL
Mujhe bhi maloom hai kya sahi hai kya galat.. | STD
Biskit khatam ho gaye hain le aana aur.. | DEL
Neend aayi theek se..? | STD
Toh nyota doon unhe? | STD
Woh kya Pradhanmantri hai desh ke, ki itne vyast ho gaye hain yakayak? | STD
Anko ka saundarya toh teri samajh mein aa gaya | STD
Apno ka dukh samajh mein nahi aa raha hai? | STD
Bauji time ho raha hai | DEL
Bete, kabhi kabhi jhatka kha ke hi seekhta hai aadmi Baith ja! | DEL
Bauji aap humpe kyun naaraz ho rahe hain..? | DEL
Yehi meri akhri paath hai ki ab kisi doosre se paath padhne mat jaana | STD
Apne raasta khud he chunna kyunki usey tai toh tumhe khud hi karna hai samjhe? | STD
Uth gadhe uth chalo! Jaao sab! Be akkal.. Jao! | DEL
Suna nahi? Jaate kyun nahi ho? | DEL
Kya pata, yaar..! | DEL
Tumhari bhatiji ki shaadi hai aakhir! | DEL
Aap dono ladte rehnaaur dekhna woh aayenge he nahi | STD
Toh aur kisko kahte hain pagal? | DEL
Sambhavnao ka khel hai.. | STD
Namaste bhai.. | DEL
Nahi nahi aapse paise thodhe hi lenge.. | DEL
Chhee! Yeh ummeed nahi thi Bauji se.. | DEL
Bachpan, jawani, shaadi, bachhe, kaam kaaj kitna sundar jeevan kitna sukh kitne saare anubhav | STD
Kuchh anubhav abhi baaki hain jo ki sirf sapno mein bhoge the | STD
Jaise ki yeh sapna jo baar baar mujhe aata tha ki main hawa mein tair raha hoon | STD
