Objection. Aapne to suspense novel likhna shuru kar diya? | STD
Mojo waapsi aaya hai yaar mera | DEL
Ik gaana suna de yaara | DEL
Ik kudi jida naam mohabbat | DEL
Gum hai gum hai | STD
Saad muraadi soni phabbat | DEL
Gum hai | STD
Toh kal 7 baje Chandigarh | STD
Haan Election Commission ko ek do din dete hain | STD
Koi action nahi hua toh media ko approach karenge | STD
Ab jab pagg baandhne ke liye sheeshe mein dekhunga sharam nahi aayegi | STD
Madamji ek gal main tab se bolna chahta tha | DEL
Us raat na mere se gadbad ho gayi | STD
Wo kya hai na aap itne perfect ho ki | STD
Main bhi ek baat bolna chahti hoon | STD
Kal yeh sab hone ke baad Chandigarh mein coffee peene chalega | STD
Bas yehi bolne aaye thhe | STD
Paani khatam hai Pyaas lagi hai | STD
Laa jug de | STD
Kaake vekh aedaan na kar | DEL
Hor kise nu taa nahi dasya na | DEL
Kee gal kaar rahe ho janaab | DEL
Twaada coujin saada coujin | DEL
Koi na Kaaka Honda hai | DEL
Tu tension na leyi | DEL
apni kothi hai Sultanpura vich | DEL
outthe bas underground rehna hai | DEL
theek hai Main vekh laanga saara kuchh | DEL
chal uth jaa | STD
Munde nu Veerji de safe house le jaa oye | DEL
Main phone kar dyaanga | DEL
Chal bhai Nopi | STD
Ho jaa shuru | STD
Puttar main aetthe scene create karda haan | DEL
Tu jaa vekh bathroom vich balti kapda hona hai | DEL
Thalle jeda gandh macheya hai o saaf karde | DEL
Jaa saabash | STD
Kitthe hai yaar Kadon da phone try kar rya haan | DEL
paahji main drive kar rya si | DEL
Aa jaa aetthe Clinic Tere Balli ne kaand kaarta | DEL
Paahji sab theek hai na Kee hoya | DEL
Tu aa taa sahi yaar | DEL
Sirji dhyaan naal | DEL
Paudi geeli hai | DEL
Main suneya Mexico di kudiya badi tote hondi ne | DEL
Inni vadiya toohi ya taa Mexico vich hondi hai yaa Punjab vich | DEL
Hai ki nhi paahji | DEL
List vichon mera naam taa chadh denda | DEL
Mera vi hai | DEL
Luli vekhi hai ik dooje di | DEL
Vekhi hai ki nahi | DEL
Naukri lawaayi main bachaayi vi main | DEL
Aaj o raand jyaada sagi ho gayi | DEL
Ae gal meri te twaadi nahi | DEL
Taa kee di hai | DEL
Punjab di | DEL
Tu Punjab da theka leya hai penchodaya | DEL
puttar kuj nhi hona Punjab da | DEL
Jameen banjar te aulaad kanjar | DEL
Pehchaana Wo us din raat ko | STD
Fudduwa | EUP
Yehaan kya kar raha hai | STD
Tere ko bachaane aaya hoon | STD
Tu sachchi mein duniya ka number one chutiya hai | STD
ladki o ruk jaa tera naam toh bataa de | STD
Main kyon dassan | DEL
Ouda naav hai | DEL
Ounu hi poochh | DEL
Naam poochh raha hai tera | STD
Ye mera kuch nahin bigaad sakte | STD
Varun bol raha hoon | STD
jahaan bhi ho gaayab ho jaao | STD
Police ne sabko pakad liya hai poora giroh khatam ho gaya hai | STD
Deb mar gaya hai | STD
Mujhe bhi goli lagi hui hai | STD
Mujhe yahaan se nikaalo | STD
Bajpai uncle phone nahin utha rahe | STD
Bajpai uncle pakde gaye | STD
Ram aur Gupta ji ko to goli mar di hai | STD
Lucknow mein Rai Bareilly mein Bastar mein har koi pakda gaya hai | STD
inko sab kuch pata tha | STD
Mujhe yahaan se nikaalo Nandan | STD
Kal milo mujhe Lakkadmandi mein subah aath baje | STD
Theek hai | STD
Samay se pahunch jaana | STD
Main ek minute intezaar karoonga bas | STD
abhi ghadi milaao | STD
Abhi baj rahe hain saat taintees | STD
Main kal chala jaoonga | STD
Aaj raat yahin rukoonga | STD
tum chaaho to police to phone kar sakti ho | STD
Mujhe yadi phone karna hoga to tumse poochne ki zaroorat nahin hai | STD
Main bas kah raha hoon | STD
Mat kaho | STD
Zamindar babu Guzar gaye | HUM
Kaise | STD
Tumne unhe maar daala | STD
Jaise tumne Deb ko maara | STD
tumhaari galti nahin thi | STD
Mujhe | STD
Tumhe unki maut ka koi afsos nahin | HUM
Khaana didi ne nahin bheja hai hum khud laaye hain | STD
Hum ghar jaa rahe hain | STD
Police ko kuch nahin bataayenge | STD
bas aap didi ko kuch mat karna | STD
Sab kuch peeche chhodkar aayi thi main yahaan sab bhool jaane | STD
pata nahin kyon tum vaapas aa gaye | STD
aur pata nahin kyon maine aane diya | STD
kyon jab tum so rahe hote ho to main gala ghont ke maar nahin daalti | STD
mazaa aa raha hai tumhe dekh kar ki main kis haalat mein hoon | STD
Vah ped dekh rahe ho | STD
Usse raat din taakti rahti hoon jaise vah koi tota ho | STD
meri zindagi hai | STD
roz uske patte girte hue dekhti rahti hoon | STD
Jis din vah ped nanga hua aur jis waqt uski aakhri patti girri | STD
main apni aakhri saans loongi | STD
yahaan iss haalat mein la chhoda hai tumne mujhe | STD
Yah jaankar shaayad thodi sharam aaye tumhe jeene mein | STD
lekin mujhe pata hai tumhe kya farak padhta hai | STD
tum usse bhi apne aap ko chhupa loge | STD
Baahar abhi bhi bahut garam hai | STD
Mujhe kuch din aur yahaan rehna padega | STD
Chai | STD
Mukhe tumhaari chai nahin peeni | STD
To kya karna hai Marna hai | STD
Hahn marna hai | STD
tum jaao yahaan | STD
se aur mujhe marne do shaanti se | STD
Shyama ke hote hue shaanti se marna mushkil hoga | STD
Kya jataane ki koshish kar rahe ho tum | STD
Kuch nahin | STD
Jab karna chahiye tha tab Bhaag gaya tha | STD
aur log the tumhaare chaaron taraf | STD
Mujhe pata hai tumhe kya chahiye | STD
Kya | STD
Ek baar se mann nahin bhara phir se | STD
Kya karoon tum to hi itni haseen | STD
Main mazak nahin kar rahi hoon | STD
Mujhe to aata hi nahin mazaak karna | STD
Tum jaao yahaan se | STD
Mera naam mat lo | STD
Cheekho mat malkin | STD
vaapas daura pad jaayega | STD
Yahi to chahte ho tum ki mujhe daura pad jaaye | STD
Dekha | STD
Tum | STD
Chhup | STD
Kabhi kabhi to sochti hoon tumhe jaan se maar daaloon | STD
itni nafrat hoti hai mujhe tumse | HUM
lekin itni taakat nahin bachi hai mujh mein | STD
mujhe bas ab mukti chahiye Varun tumse apne aap se iss zindagi se sabse | STD
Mujhe pata hai Namita Bhagwat ki chhuttiyan chal rahi hai | STD
kya karoon | STD
nahin mujhe usse nahin baat karni | STD
Hahn bete kaise ho | STD
Main Dalhousie mein hoon | STD
nahin tum yahaan nahin aa sakte | STD
main yahaan kyon hoon | STD
Aap so jaao | STD
Sota hoon to sapne mein aata hai | STD
chidhaata hai saala | STD
tum so jaao main jaga hoon | STD
Usse goli lagi hai ho sakta hai mar gaya go | STD
Marega to kissi na kissi ko to dikhega | STD
aur yadi kissi aise jagah mara hai jahaan dikh nahin sakta to insaani shaeer hai | STD
marta ha to sadta hai sadta ha to badboo aati hai | STD
Hahn lekin baraf bhi to gir rahi hai | STD
Usmein boo nahin aati | STD
Tumne kabhi bhi mujhse pyaar kiya tha | STD
Mere saath hi aisa kyon kiya | STD
Jaanbooch ke kuch nahin kiya maine | STD
Main jab Manikpur aaya tha mujhe nahin pata tha tumse takkar hogi | STD
jab pahli baar tumhe dekha tha to thodi der ke liye laga tha main mar gaya hoon | STD
Phir mujhe nahin pata tha tum Zamindar babu ki beti niklogi | STD
Main chori karne aaya tha | STD
aur parivar mein ghusna isiliye pada kyonki pata karna tha kya kya hai jo chori kiya ja sakta hai | STD
ye mera kaam hai | STD
Jab maine dekha ki tum mujhse pyaar karne lagi ho to maine kayee baar rokne ki koshish ki | STD
Lekin nahin roka gaya | STD
Phir Bajpai uncle to pata chala | STD
unhone Bola main kaun hoon | STD
kya karta hoon | STD
tumhe pata chala to tum kya phir bhi pyaar kar sakogi | STD
Tumne abhi bhi mere savaal ka jawaab nahin diya | STD
tumne kabhi bhi mujhse pyaar kiya tha | STD
Andar aa sakta hoon | STD
Main seedha kaam ki baat par aata hoon | STD
Aap ne usse dekha Ya Milli | STD
Main usse kyon miloongi | STD
Hahn | STD
aapne bola tha vah aane vaala hai | STD
aaya nahin | STD
guesthouse khaali hai | STD
board abhi bhi baahar laga hai | STD
Phir bhi vah aapke guesthouse mein rah raha tha | STD
Nahin | STD
Main andar dekh sakta hoon | STD
Abhi to nahin hai | STD
kal laakar dikha sakta hoon | STD
To phir kal hi aayiyega Singh sahab andar dekhne | STD
Aap usse bachaane ki koshish kyon kar rahi hain | STD
Main kissi ko bachaane ki koshish nahin kar rahi hoon | STD
Ye vahi aadmi hai jiski vajah se aapke pitaji ki maut hui | STD
aur hamaare ek havaldaar ki goli maar ke hatya ki hai usne | STD
Jiss din pakda jaayega ya to usse phaansi par latka denge ya utha kar jail mein phenk denge | STD
baaki saaari zindagi ke liye | STD
Kal main vaapas aaoonga warrant ke saath | STD
aur dus police vaale bhi honge mere saath | STD
jinko main baahar chhodkar jaa raha hoon | STD
agar usne raat ko yahaan se bhaagne ki koshish ki to ye usse goli maar denge | STD
nahin to kal main maar doonga Agar vah zinda milla to | STD
Kya matlab | STD
Ho sakta uss raat jo goli maine usse maari ho ussi se mar gaya ho | STD
Dhanyavaad Singh sahab | STD
Main jaakar aaraam karoon | STD
Meri tabiyat theek nahin hai | STD
Tumne mujhe bataya kyon nahin ki tumhe goli lagi huyi hai | STD
Mera asli naam pata hai kya hai | STD
Kya | STD
Hanste hue achchi lagti ho | STD
Vah Singh tumhe maar daalega | STD
Deb hota to pata hai kya kehte | STD
Kya | STD
Aisa koi Singh ya Rahman paida nahin hua jo Dev Anand ka baal bhi baanka kar sake | STD
Tum Dev Anand nahin ho | STD
Vah mujhe choo bhi nahin paayega | STD
isse bade bade chakravyuhon se nikla hoon | STD
Vah kal warrant le kar aa raha hai | STD
Main raat ko chala jaoonga | STD
Kahaan jaaoge | STD
Pata nahin Chandratal | STD
Aur phir Vaapas apni duniya mein | STD
Meri duniya to khatam ho chuki hai | STD
koshish karoonga tumhaari duniya mein aane ki | STD
Mujhse moonh mat modo Pakhi | STD
Meri taraf dekho | STD
Mujhe pata hai tumhe meri kissi baat pe vishwaas nahin hai | STD
lekin aaj main jhoot nahin bol raha hoon | STD
maine tumhaare aur Zamindar babu ke saath jo kiya uske liye kabhi khud ko maaf nahin kar sakta | STD
vah hak sirf tumhaara hai | STD
lekin main nafrat karta hoon apne aap se | STD
Aur shayad jab tak jeeyoonga tab tak karta rahoonga | STD
Tumne kabhi mujhse pyaar kiya tha ya nahin varun | STD
Kiya tha bahut kiya tha | STD
abhi bhi karta hoon | STD
tum ek iklauta mauka thi meri zindagi mein jeene ka jo maine gava diya | STD
meri zindagi mein sabne mujhe istemaal kiya hai | STD
pyaar sirf tumne kiya | STD
izzat sirf Zamindar babu ne di | STD
aur uski keemat nahin chuka paaya | STD
Jo tum ji rahi ho yahaan vah tumhaari zindagi nahin hai | STD
uss aakhri ek patte ke saath zindagi jodkar rakhi hai | STD
jo sahi nahin hai | STD
vah tumhaara tota nahin hai | STD
Aur agar vah aakhri patti gir gayi to | STD
Nahin giregi | STD
Kiske liye jiyoon main | STD
Apne liye | STD
tum likhna chahti ho na | STD
tum bahut khoobsoorat likhti ho | STD
likho bataao duniya ko ki kaise ehsaan faramosh log bhi hain unke beech | HUM
Main akele nahin rah sakti Varun | STD
Tum kabhi akele nahin rahogi | STD
yah mera vaada hai | STD
Vah bhaag gaya Singh sahab | STD
Mujhe pata hai | STD
Aapko pata hai | STD
vah painter banna chahta tha | STD
aur usse pattiyan banana bhi nahin aata tha | STD
Usne aakhirkaar apna masterpiece bana hi diya | STD
Hahn didi | STD
Bhook lagi hai | STD
Pata nahin vah kahaan chala gaya tha | STD
Pata nahin vah yahaan Chandratal pe kab aayega | STD
lekin mujhe pata hai | STD
Ek din vah aayega aur hum zaroor milenge | STD
kyonki main yahaan baithi uska intezaar kar rahi hoon | HUM
Subah se talaab pe baithi hain | HUM
peechhe Akele | HUM
Tum kya taad rahe ho be  | STD
Chalo woh dariyan uthao wahan se | HUM
Jalsa khatam honay mein ab kuchh hee din reh gaye hain | STD
Poora zila aapke faisle ka muntazir hai | HUM
Kuchh sachchaiyaan hain faisle se pehle jinhe aap tak pahunchana lazmi hai | HUM
Hum jo nazar aate hain  woh hai | HUM
nahi Hamne nakaab pehen rakha hai nawabiyat ka | HUM
Hamein toh pehle se hee shaq tha janaab kee aap dil se nawab nahi hain | HUM
Nahi aap galat samajh rahi hai | HUM
Hamne jhooth bola tha kee hum nawab hain | HUM
Magar sach chhupa bhee nahi paaye | STD
hain aap Aap shayar hain sufi sachche | STD
Begum aap samajhne kee koshish | HUM
karein | HUM
Hum chor reh chuke hain peshevar | HUM
Jaante hain hum | STD
Hamare guzre huey | HUM
kal mein seindh lagai hai aapne | HUM
Hamein dard se azaad karane mein kis chor ka haath hai hum jaante hain Iftekhar | HUM
Aaj pehli baar hamein apne naam kee awaaz itni meethi lagi hai | HUM
Haramzade Kutte Jis thali mein khata hai usee mein chhed karta hai | STD
Tujhse kaha tha maine ki agar Begum | HUM
par zara si bhee aanch aayee to tujhe jibah kar doonga main | HUM
Lag rahee hai yaar Ruko toh Meri | HUM
Maloom karo kaun hai behenchod | HUM
Kanpur Meerut Dehradoon Haryana sab jagah phone laga | HUM
Kisne Jaan Mohammad ke ghar mein daaka dalne ki himmat ki hai | HUM
Gaon mein pata karo kisi ne agar | STD
gaadi number note kiya ho toh | STD
Kab posting hui hai teri yahan | STD
Aap itmenan rakhein Jo bhee hai | HUM
jaldi pakda jaayega | STD
Hum saare phones tap kara rahein hain | STD
jaise hee firauti ke liye phone | STD
aayega kidnappers ki location pataa chal jaayegi | STD
chhod raha hoon warna tere gaal pe mere hatth chhap gaye hote ab tak samjha | STD
Apne aap tu kuchh nahi karega | STD
Kuchh bhee  Kuchh pata chale to mere paas aana Jo karoonga ab main karoonga | STD
Samjha | STD
raand | STD
Yahan sabne nakaab pehen rakhe hai | HUM
Ye tumhari jaan e hayaat ne bhi | HUM
Ye jalsa ye muqabla shauhar kee talash nikaah sab drama tha | HUM
Issey paisa chahiye jo tumhare paas hai nahi | HUM
Par issey kaise pataa chala ke mere | HUM
paas paisa nahi hai | HUM
Maine bataya Sori | HUM
Dekho jab mujhe inn logon ka plan pataa chala | STD
Haan Muniya aur ye dono partner | STD
hain  Tumhari aur meri tarah | STD
Main tera partner nahi hoon | STD
Jaan Bhai | STD
Haan Dus | STD
Jitni teri hone wali Begum ke haathon mein ungliyaan hai | STD
Aur lakh nahi karod samjha | STD
Jee samjha Kahan pahuchana hai | STD
Woh bhee bataa denge pehle intezam | HUM
Sab theek ho jaayega Chup kar bus | STD
chup Sab theek ho jaayega | STD
Guess kar mere paas kya hai | STD
Idhar dekh | STD
Dekh na | STD
Paagal ho gaya hai | STD
Kon see tareekh ke ticket karvane | STD
Dekh Ye mumkin nahi hai | HUM
Ab kuchh nahi ho sakta | STD
Main chhate maqaam par hoon | HUM
Wahi Jisme maqaam hote hain | HUM
Dikashi Uns Mohabbat Aqeedat Ibadat Junoon | HUM
Oye Bahar aa | STD
Baad mein aana abhi waqt nahi hai | HUM
Dekh Mujhe mujhe ishq ho gaya hai tujhse Sachcha ishq | HUM
Dekh bhai | STD
Hamein maaf kar hamse galti hui jo tere saath sex kiya  Ye ishq vishq ka naam leke rooh mat kanpaa hamari | HUM
Meherbaani kar aur baksh de hamein | HUM
Apne ullu seedha karne ke liye | STD
natak kiya tune mere saath | STD
Haramzadi | HUM
Dekh paise me jo tera hissa hai | STD
tujhe mil jaayega | STD
Raand hoon kya main | STD
Ye sab maine paise ke liye nahi | STD
tere liye kiya hai haramzadi | STD
Aur ab mujhe paisa bhi nahi chahiye | STD
Tum dono ka bhanda phod karna hai | STD
mujhe ab | STD
Dikhana hai in khubsoorat chehron ke peechhe bhayanak chudailein chhupi hain | HUM
Tu theek hai na | STD
Ab hum ishq ke saatvein maqaam par | HUM
Kya hai woh | HUM
Oye   Lock ka number kya hai | STD
Nau doh gyarah | STD
Achha | STD
Jaan bhai  Kisi hotel mein jaayen | STD
Main nahi jaa sakta Inke bina | STD
Nahi Nahi | STD
Arrey aise toh phir koi nahi jaayega | STD
Bhenchod Kaun ja raha hai | STD
Train aa gayi hai | STD
Bhaag bhainchod | HUM
Aazadi zindagi ka sabse haseen aur | HUM
naayab tohfa hai | HUM
Jise paane ke liye koi bhee qeemat kam hi hoti hai | HUM
Azaad hum huay thay magar qeemat aapne ada ki thi | HUM
Humein lagta tha ki aap jaise aashiq sirf filmo mein hee paaye jaate hain | HUM
Dua hai ki Allah miyan humein bhi aapke ishq ki shiddat ataa kare | HUM
Ishq Main layak hee nahi thi tere | HUM
ishq ke | HUM
Dekhna tujhe zindagi mein mujhse bhi behtar girlfriend milegi | HUM
Lekin agar tumhari qismet kharaab huee to main tujhe phir kahin na kahin mil hee jaoongi | HUM
Aapke tohfe se aasmaan toh kiraye | HUM
pe nahi mila | STD
Haan par ek chhoti see duniya zaroor khareed lee thee humne | STD
Aarzuein adhoori theen par | HUM
zarooratein poori ho gayi thi | HUM
Hamari iss duniya mein zindagi | HUM
thami see rehti hai | HUM
Kabhi aaiyega buth ban ke baithenge | STD
Khushkhabree hai Tumhari zamanat | HUM
ho gayi hai | HUM
Maine kha tha Woh aayengi zaroor | STD
aayengee | STD
Koi aakhiri khwahish | HUM
Ek gazal sunani hai | HUM
Jaanti hai? | STD
Dekh rahi hoon. | STD
Yaar jhagda nahin karenge hum Haan No jhagda | STD
Tu aise na kiya kar baatein | WUP
Pher | WUP
Achcha sorry Chalo | STD
Chalo race. Ready? | STD
Ye duniya to nahin ho sakti Haan? | STD
Ye koi aur jagah hai Duniya nahin hai | STD
Ab? Ab kahan jayenge? | STD
Kya hoga? Haan? | STd
Kaha pata | WUP
Really Kahan hain hum? Kahan jayenge? | STD
Ye le paani pee le thoda sa | STD
Abhi so ja, theek hai? | STD
Pher kal sooraj aayega, pher hum aage chalenge | WUP
Chalenge to raasta mil jayega koi na koi hai na? | STD
Haan | STD
So ja | STD
Aise hi kisi phaad par mera ghar ho main hamesha chaahti thi | STD
To chun le koi pahad. Ye sab apne hi hain… | STD
Aur kiske hain? Apne hain, yaheen milenge jab bi aayegi. | STD
Main to chun loongi par ghar banaane ka kaam tumhaara | STD
Matlab makaan ki baat kar rahi hoon, vaise waale Ghar ki baat nahin kar rahi Filhaal | STD
Theek | STD
Chun rahi hoon haan | STD
Thak gaya? | STD
Nahin nahin | STD
Haan, iske liye khaana banaoongi | STD
Khush ho rahe hain bade | STD
Mahabir	Apne gaam aaye hain | WUP
Tum bhi to khush hone waale ho jaldi haan haan? Promise kiya hai tumne | STD
Kitni mehnat bach gayee Yehi to hai mera ghar, exactly jaisa chahiye tha. | STD
Bhook lagi hai? | STD
Haan | STD
Dus minute. Main sab kuch ready karti hoon. Jab tak tum munh-haath dho, aaraam karo. | STD
Saath hi karte hai ready | STD
Ji nahin. Ye mera ghar hai. Chalo out | STD
Arey Main andar safai to kar doon | STD
Kya hua? | STD
Ek minute | STD
Nahin nahin Kuch nahin | STD
Ye cheej ye kabhi na mil sake hai Mo ko ghar kabhi na mil sake hai | WUP
Bahot door chala gaya main Bahot door chala gaya | WUP
Maine to sochi thi saanjh hote hi laut jaoonga | WUP
Har din socha karoon vaapas chala jaoonga | WUP
Amma ke paas Bees saal ho gaye Kaha pata hai bhi ki na Amma Mar gayee ho shayad | WUP
Aur tum jaoge vaapas Ab sab theek hone waala hai, dekh lena tum | STD
Ye ka ho gaya? Main yu na hoon Main yu na hoon. | WUP
Bas main va\an khada tha Va ne haath mein bandook pakda dee | WUP
kahi chala de Bhaati, chala de Maine chala dee Aise hi Aur sab khatam | WUP
Maine bahot buri kee hai Meri koi maafi na hai | WUP
Par mere saath kaun si achchi huyi hai? | WUP
Mere saath bhi to buri hi buri huyi hai na Main bi to laadla tha Amma ka Amma | WUP
Gun kahan hai? Tumhaari gun kahan hai? | STD
Phenk dee | STD
Hato Peeche hato | STD
Khabardaar | HUM
Haan? Haan? Sab theek ho jayega sab theek ho jayega | STD
Goli kyon chalayee you bastards? Goli kyon chalayee? | STD
Veera suno | STD
Peeche peeche Maar daaloongi main | STD
Isko hopital le jaana chahiye | STD
Shoot kyon kiya? Haan? Main chhodoongi nahin Peeche hato | STD
Dekho time nahin hai. Isko hospital le jaana hoga varna ye mar jayega. | STD
Nahin Kuch nahin hoga ACP	Jaldi le jaate hain isey | STD
Haan, hospital le chalo Jaldi | STD
Bulao, bulao | STD
Suno suno Mahabir | STD
Main tumhein gaon le jaoongi, theek hai? Promise Amma ke paas | STD
Maine kaha tha na sab achcha hoga? Kaha tha na? Kuch nahin hua, sab theek hai Main bol rahi hoon na Tum dekhna | STD
Dekhiye main jaanti hoon aap kya soch rahe hain magar baat kya hai, aap nahin jaante | STD
Usey bachaana hai papa, okay? Mujhe kidnap kiya haan Magar baat vo nahin hai baat ulti hai | STD
Kya ho gaya meri bachchi? | STD
Arey kuch nahin hua hai Kuch nahin hua, main bataoongi | STD
Veera | STD
Ye kaun hai? Ye kaun hai? Doctor	Baitho, baith jao | STD
Aap log kya soch rahe hain? Haan? Mujhe kuch nahin hua hai | STD
Ye kya ho raha hai? | STD
Arey arey.? Chhodo, chhodo mujhe Arey.? | STD
Papa | STD
Aap bhi | STD
Ye injection kis ke liye? Ruko, ruko | STD
Papa please, meri baat suniye | STD
Achcha ek second, ek second ek second rukiye kuch baat hai, rukiye to | STD
ek second, dekhiye mujhe nahin, dekhiye baat suniye Arey ek second | STD
Bas bas bas | STD
Baat samajh nahin aati? Ye kya kiya? Abhi mujhe Main | STD
Ab aap so jao. Theek hai? | STD
Kamal | STD
Veera ko abhi Delhi move kar sakte hain? | STD
Body kahan hai? | STD
Mortuary mein hai sir | STD
Post Mortem ho gaya? | STD
Aap idhar aao, main injection ready karti hoon. | STD
Vinay ki mummy milna chahti hain aapse. Achche se milna, theek hai? pleasant tareeke se. | STD
Achcha har winter mein kehte hain bahot sardi pad rahi hai | STD
Aap neeche kyon aa rahi hain? | STD
Good. Aaiye, baithiye | STD
How are you feeling now? | STD
Pehle se bahot behtar lag rahi hai Manu | STD
Pahaad ke oopar ghar mil gaya mujhe | STD
Banaya maine khaana apne ghar ki safai bhi kee Phir goli chal gayee | STD
Vinay ko mountains bahot pasand hain na? Austria mein vo kaun sa resort hai Veera ka favourite? | STD
Main hamesha kehti thi na ki main bhaag jaaongi yahan se, mujhe sheher mein nahin rehna? | STD
Sab kehte hain, bhaagta koi nahin hai. Main bhi nahin jaati Agar Mahabir mujhe kidnap kar ke na le gayaa hota. Magar ab na | STD
main ja chuki hoon. Ab main vaapas nahin aa sakti. | STD
Ajeeb baat hai Kidnap ho gayee par vahan azaad thi | STD
Ye ghar hai mera? | STD
Aaj chocolate nahin laaye Shukla tayaji? | STD
Abhi mangwa kar deta hoon | STD
Kahan? | STD
Kahan denge? Yahan, ya bathroom mein? | STD
Haan? | STD
Veera, chup | STD
Jee mummy? Kuch kehna hai? | STD
Yaad nahin aa raha hai? Main yaad karati hoon – Meri princess | STD
Duniya ki sabse khoobsurat ladki hai meri bachchi Yaad aaya? | STD
Apne haath se mera munh daba kar band kar dete the haan? taaki meri cheekh baahar na nikle haan? | STD
Jo main chillati thi | STD
Jo main us pain mein cheekhti thi vo cheekh baahar na nikle koi sun na le isliye zor se mera munh daba dete the Shh Shh | STD
Sach mein paagal ho gayee hai ye Sahi keh rahe hain sab | STD
Bathroom mein baar baar nal chala kar | STD
Kahan chali gayee thi tum haan? | STD
Cheekhti thi nau saal ki thi cheekhti thi magar vo haath munh ke oopar, dab gayee cheekh, kisi ne nahin suni | STD
Chalo Le chalo | STD
Veera baahar jao to careful rehna Ghar ke baahar bahot bure log hote hain, ladki to hamesha careful rehna chahiye? | STD
To ye kyon nahin kaha ki mujhe ghar ke andar bhi careful rehna hai, mujhe aap logon se bhi bach ke rehna hai? Ye kyon nahin kaha? | STD
Yahan to main bilkul exposed thi Ghar mein thi main To mujhe nahin hona hai sensible. Main bewakoof hoon Main kharaab hoon | STD
Magar main aap logon mein se ek nahin hoon. Main vaapas nahin aaoongi | STD
