Itni kya urgency thi yaar? | STD
Vinay ko mountains bahot pasand hain na? Austria mein vo kaun sa resort hai Veera ka favourite? | STD
Main hamesha kehti thi na ki main bhaag jaaongi yahan se, mujhe sheher mein nahin rehna? | STD
Sab kehte hain, bhaagta koi nahin hai. Main bhi nahin jaati Agar Mahabir mujhe kidnap kar ke na le gayaa hota. Magar ab na | STD
main ja chuki hoon. Ab main vaapas nahin aa sakti. | STD
Ajeeb baat hai Kidnap ho gayee par vahan azaad thi | STD
Ye ghar hai mera? | STD
Aaj chocolate nahin laaye Shukla tayaji? | STD
Abhi mangwa kar deta hoon | STD
Kahan? | STD
Kahan denge? Yahan, ya bathroom mein? | STD
Haan? | STD
Veera, chup | STD
Jee mummy? Kuch kehna hai? | STD
Yaad nahin aa raha hai? Main yaad karati hoon – Meri princess | STD
Duniya ki sabse khoobsurat ladki hai meri bachchi Yaad aaya? | STD
Apne haath se mera munh daba kar band kar dete the haan? taaki meri cheekh baahar na nikle haan? | STD
Jo main chillati thi | STD
Jo main us pain mein cheekhti thi vo cheekh baahar na nikle koi sun na le isliye zor se mera munh daba dete the Shh Shh | STD
Sach mein paagal ho gayee hai ye Sahi keh rahe hain sab | STD
Bathroom mein baar baar nal chala kar | STD
Kahan chali gayee thi tum haan? | STD
Cheekhti thi nau saal ki thi cheekhti thi magar vo haath munh ke oopar, dab gayee cheekh, kisi ne nahin suni | STD
Chalo Le chalo | STD
Veera baahar jao to careful rehna Ghar ke baahar bahot bure log hote hain, ladki to hamesha careful rehna chahiye? | STD
To ye kyon nahin kaha ki mujhe ghar ke andar bhi careful rehna hai, mujhe aap logon se bhi bach ke rehna hai? Ye kyon nahin kaha? | STD
Yahan to main bilkul exposed thi Ghar mein thi main To mujhe nahin hona hai sensible. Main bewakoof hoon Main kharaab hoon | STD
Magar main aap logon mein se ek nahin hoon. Main vaapas nahin aaoongi | STD
