Kya bola | STD
Dekh paise me jo tera hissa hai | STD
tujhe mil jaayega | STD
Raand hoon kya main | STD
Ye sab maine paise ke liye nahi | STD
tere liye kiya hai haramzadi | STD
Aur ab mujhe paisa bhi nahi chahiye | STD
Tum dono ka bhanda phod karna hai | STD
mujhe ab | STD
Dikhana hai in khubsoorat chehron ke peechhe bhayanak chudailein chhupi hain | HUM
Tu theek hai na | STD
Ab hum ishq ke saatvein maqaam par | HUM
Kya hai woh | HUM
Oye   Lock ka number kya hai | STD
Nau doh gyarah | STD
Achha | STD
Jaan bhai  Kisi hotel mein jaayen | STD
Main nahi jaa sakta Inke bina | STD
Nahi Nahi | STD
Arrey aise toh phir koi nahi jaayega | STD
Bhenchod Kaun ja raha hai | STD
Train aa gayi hai | STD
Bhaag bhainchod | HUM
Aazadi zindagi ka sabse haseen aur | HUM
naayab tohfa hai | HUM
Jise paane ke liye koi bhee qeemat kam hi hoti hai | HUM
Azaad hum huay thay magar qeemat aapne ada ki thi | HUM
Humein lagta tha ki aap jaise aashiq sirf filmo mein hee paaye jaate hain | HUM
Dua hai ki Allah miyan humein bhi aapke ishq ki shiddat ataa kare | HUM
Ishq Main layak hee nahi thi tere | HUM
ishq ke | HUM
Dekhna tujhe zindagi mein mujhse bhi behtar girlfriend milegi | HUM
Lekin agar tumhari qismet kharaab huee to main tujhe phir kahin na kahin mil hee jaoongi | HUM
Aapke tohfe se aasmaan toh kiraye | HUM
pe nahi mila | STD
Haan par ek chhoti see duniya zaroor khareed lee thee humne | STD
Aarzuein adhoori theen par | HUM
zarooratein poori ho gayi thi | HUM
Hamari iss duniya mein zindagi | HUM
thami see rehti hai | HUM
Kabhi aaiyega buth ban ke baithenge | STD
Khushkhabree hai Tumhari zamanat | HUM
ho gayi hai | HUM
Maine kha tha Woh aayengi zaroor | STD
aayengee | STD
Koi aakhiri khwahish | HUM
Ek gazal sunani hai | HUM
