Ek rikshawalle ko dhoond raha hoon. Umr hogi kuch pachees-chabees saal. Patla sa hain, daadi baniye hui hain. | STD
Do jung chal rahi hain Punjab mein | HUM
Jo main aur tu lad rahe hain | STD
Pehelwan jaise logon se system | STD
wo toh fir bhi aasaan hai | STD
Asli war on drugs wo hai jo Balli jaise drug addicts lad rahe hain apne aap se | STD
Wo jeetenge toh hum jeetenge | STD
Wo haare toh Punjab haar gaya | STD
Bhai tu theek hai na bhai | STD
Dikha koi Haan dikha koi | STD
Kahaan se dikhega Kuchh naalo mein pade hain | STD
koi apni hi ulti mein lote raha hai | STD
aur kaiyon ka toh already waheguru ho gaya | DEL
Chal gaana suna de yaar | STD
Gaana vi sunaaunga pra Pehlaan gal taa sun le | DEL
Yaar main na bhot chhota aadmi haan | STD
Chutiyaa haan Ae haa main | DEL
Fuddu  Main fuddu haan taa | DEL
dukaan chal gayi music di nahi taa | DEL
waiteri kar rya hunda yaa fer | DEL
kitthe taxi chala rya hunda | DEL
High school mar mura ke paas kitti si | DEL
Bas ik cheej di knowledge si | DEL
Drugs Hor os baare mein gaa ditta | DEL
Tussi onu philosophy maan leya | DEL
Tussi taa pancho mere tohn vi vadde fuddu nikale | DEL
Chal chal Bhot ho gaya Hun gaana suna de | DEL
Hor tu taa sab tohn vadda fuddu hai | DEL
veerey Je hun vi tainu gal samajh nhi aa rahi | DEL
Gaana gaa yaa waapas jaa | STD
Gaana gaa yaa waapas jaa | STD
Gaana gaa yaa waapas jaa | STD
Gaana sun na hai Taa ae lo | DEL
Kaat denge bhenchod | DEL
Bhaag yehaan se | STD
Please chhupne de | STD
Kaun ho | STD
Main Tommy | STD
Kutta | STD
Chupchaap koney mein baith jaao | STD
Maal hai | STD
Maal hai | STD
Kisse bhaag raha hai | STD
Apne aap se | STD
Duniya ka sabse bada | STD
Humse bada nahi ho sakte | EUP
Chal oye Chutiyon ka champion hoon main | DEL
Dekh chutiyaapa kar ke kahaan se kahaan pahunch gaya | DEL
Hum bhi rasta bhool ke nahi aaye hain yehaan hamaara sunoge na | EUP
rehen de Meri toh khopadi pe bhi likha hai Dekh | BOM
Yeh to fuddu likha hai | DEL
Ek hi baat hai | STD
Kaisa ek hi baat hua | EUP
Fuddu fuddu hota hai  chutiya chutiya hota hai | DEL
Ek cheez soch raha tha | STD
mere se akele se hoga nahi | STD
Saath mein suicide karegi | STD
Bhaag itna bada chutiya bhi nahi hain | EUP
Aur tum saala yeh sab baat daalo mat hamaara dimaag mein Manhoos saala | EUP
Haan maar le Pancho tu bhi maar le ab | DEL
Toh kaahe manhoosiyat batiya rahe ho | EUP
Haan te hor kee karaan Pancho | DEL
changi gal sunni kine hai | DEL
Aaj kari toh ande phenkne lage gaandu | DEL
vekh ae vekh | DEL
Aur jo pichhle 4 saal se bakwaas kar raha tha woh sab sahi tha inke liye | STD
pancho star bana diya | DEL
22 saal mein  pop fuckin star Lakkhan iyan bechi from London se Ludhiana | DEL
Aur uske baad phusss | DEL
Soch ke dekh Koi tere ko bole ki teri life | STD
mein jo nikal gaya wo tera sabse | STD
achcha time tha Ab isse achcha | STD
time nahi aane waala | STD
Maal khatam  Party over | STD
Manhoos  saala Kaise nahi aayega achcha time bey | EUP
Saala achcha time khojte khojte toh yeh haal ho gaya | EUP
Chutiya nahi hain hum | EUP
Socha Bihar ke liye khelenge toh achcha time aayega | STD
Tab bhosadi baap mar gaya | EUP
Sarhota aaye  khet mein hansiya chalaane lage | EUP
Saala ek din aasmaan se wo packet aa ke | STD
gira Socha bech denge toh achcha time aayega | STD
Ho gaya chutiyapa | DEL
Dharaa gaye saala Jaanwar banaa diya humko | EUP
Kutta ka jindagi | EUP
Kabh yeh chadhta hai kabhi wo chadhta hai | STD
kabhi maadarchod sab saath mein chadhta hai | EUP
Pataa hai tumko kya hua hai hamaare saath | EUP
Yeh Yeh chhod ke sab kuchh hua hai | STD
Khidki mein se Goa ka ek adotise dikhta hai | EUP
usi ko taadte rahte hain | EUP
Kyunki wo hamaara achcha time hai | STD
Aur wo aayega Aana padega | STD
bhosadi usko Hum le ke aayenge | EUP
Aur jab aayega toh poochhenge usko | STD
ki itna time kahaan thha be tu maadar | EUP
Saala paanch kilo heroin pachaas kilo ka aadmi se jyaada jaroori ho gaya | EUP
Humko toh nahi jamaa tumhaara Punjab | EUP
Kabhi beedi nahi piye thhe | EUP
saala sui ka aadat laga diya humko idhar | EUP
Chhod kyun nahi deti | STD
Punjab Ya sui | STD
Punjab Pulce ne Tommy Singh ute obscenity te public nuisance da case file kitta hai | DEL
Court ne case admit karde hoye Tommy Singh de | DEL
khilaaf non bailable warrant jaari kitta hai | DEL
Home Minister Brar ne ghatna di nindya karde hoye pulce | DEL
nu nirdesh ditta hai ki Tommy nu jald toh jald | DEL
Bhenchodaa Je Veerji nu pata lag gaya na | DEL
kuku yaar main aenu samjhaa dyaanga Chhad hun | DEL
Hun aede vich kee reh gaya hai | DEL
Choosa aam  Katt ke sut deneya saali nu | DEL
Pakka yaar Hun pakka nahi karegi | DEL
Chalo guarantee do inko  Nahi karogi na | STD
Bhai please bhai Please | STD
Bahot naaraz hu main tumse | STD
Kahaa tha na Ruk jaao Bombay le jaaunga | STD
Baby samjho baat ko | STD
Baahar nahi manage kar paaogi | STD
Tumhe to pata hai heroin kitni mehengi hai | STD
Paison ke liye kisi bhi laude lahsun ke saath sona padega toh | DEL
achcha lagega toh love you | STD
Woh toh sirf use karenge tumhe | STD
In sab ke peechhe koi Virender | STD
Sorry sorry Bataati hoon | STD
Dekh Deluxe Pharmaceuticals hi wo front | STD
hai jiske naam pe inko government | STD
controlled opium supply ho rahi hai | STD
Farji company hai internet pe koi ata pataa nahi | DEL
label pe diye phone number bhi kaam nahi kar rahe | STD
Par Registrar of Companies ki website pe iske owner ke details mil gaye | STD
Koi Virender Singh hai Pind Haveliyan mein | DEL
Yeh Virender Singh kaun Mujhe toh laga thha koi bada neta nuta hoga | DEL
Ho sakta hai kisi neta ka khaas ho | STD
Madamji wo kal raat | STD
Tu theek hai na ab | STD
Sartaj Balli bahot resist kar raha | STD
hai Hum uski help tabhi kar sakte hain jab wo khud chhodna chaahe | STD
Hamaare yehaan nahi hota woh koot kaat ke chhudaane waala treatment | DEL
Aaya jab se yehi haal | STD
Kal raat ko toh aisa kaata Balbir ko ki baaki patients ka morale down hota hai | STD
Madam isne baahar na khatam ho jaana hai | STD
Aapko toh maahaul pata hi hai | STD
Haan main kuchh sochti hoon | STD
Baaki doctors se baat karni hogi | STD
Madam main Jujhar paahji se request kar ke do constable laga deta hoon | STD
Aap isko alag kamre mein daal do | STD
Bas din mein do ek chakkar maar lena | DEL
Par please  iska treatment mat roko | STD
Bas paahji aethhe hi chhad do | DEL
Tommy nu vekhan aaya hai | DEL
Laude laag gaye oude taa | DEL
Bajpai jinka sardar hai jo khareeddar banke aaya tha | STD
Varun Shrivastav ka asli naam kya hai kissi ko nahin pata | STD
kabhi vah Narayan Maurya hota hai  kabhi | STD
Mohan Das | STD
Debdas Mukherjee ke bhi kayi naam hai | STD
Madan  Tony aur pata nahin kaun kaun se | STD
Daroga Babu sirf aapki madad karna chah rahe the | STD
Ek chhitthi likhiye hamari taraf se | STD
Ki Pakhi ka vivaah humne sthaagit kar diya hai | STD
Aur maafi maang leejiye | STD
Jo mann mein aaye likh deejiye | STD
aur hamein akela chhod dein aap | STD
Kal yadi samay nikaal kar ek nazar hisaab par | STD
Mujhe maf karo do | STD
Maafi to mujhe maangni chahiye beti | STD
ek cheez maangi tumne vah bhi nahin de paaya | STD
Kuch nahin to kam se kam tumhe hi saath le jaata | STD
Sab kuch aapke naam chhodkar gaye hain | STD
Kya karna hai beti | STD
Didi khaana kha lo | STD
Main kar loongi Shyama | STD
unko chhod do | STD
Main kya karoon phir | STD
Tum jaao | STD
Pakhi ji  aap jitni achchi tarah Varun ko jaanti thi  koi aur nahin jaanta | STD
Aap agar madad nahin karengi to unke giroh ko pakadna mushkil ho jaayega | STD
Jo Manikpur mein hua aapke saath vah kayi auron ke saath ho chuka hai | STD
Iss giroh ne lakhon  karodon churayen hain zamindaron  raja maharajaon se | STD
kai parivar khatam ho gaye hain | STD
tod diye hain in logon ne  Sirf akele Roychowdhury sahab ki maut ke zimmedar nahin hai ye | STD
Mere baba isiliye nahin marre kyonki unhe kissi ne loot liya | STD
Vah Varun ne unka dil toda tha | STD
Unko dhokha diya tha | STD
Vah us pe bahut vishwas karte the | STD
Aur agar vah marre nahin hote to vah bhi yahi chahte ki Varun ko uske kiye ki sazaa mille | STD
Aap madad karengi to hum unko pakad sakte hain | STD
Mujhe usse badla nahin lena hai | STD
Singh sahab  Main sirf usse bhoolna chahti hoon | STD
Agar aapko meri zaroorat pade ya aap ko kuch yaad aa jaaye jo aap bataana chahe to operator ko bol ke aap yahaan phone kar sakti hain  | STD
Main jaoon | STD
Khaana dhak ke rakh liya hai | STD
Thanda hone se pahle kha lena | STD
Aapne subah se kuch nahin khaaya hai | STD
Inspector  Singh se baat ho sakti hai | STD
Usne ek baar bataaya tha ki Jandrighat ke raja ke mahal mein ek paanch sau saal puraani Ganesh ki sone ki murti hai | STD
Khaali guest house kiraye pe uplabd hai | STD
Pakhi    meri baat sun rahi ho | STD
Kissi garam jagah jaakar rahna chahiye tumhe | STD
zyaada jeeyogi | STD
Marna to hai hi ek din doctor uncle | STD
kya karoongi ji kar | STD
Ek aur kitaab likh sakogi | STD
Jo likh rahi hoon  ussi mein hi saari zindagi khatam ho jaati hai | STD
hai    jaanleva hai | HUM
kitni bhi zidd kare akele mat chhodna  | STD
Hum to lad lad kar ro ro kar thak jaate hain | STD
Jab vah akele rehna chahti hai to baahar dhakel deti hai  sunti kahan hai | STD
Tum bhi vaapas unko andar dhakel diya karo    aur kaadha pilaate raho | STD
Kaadha pee lo didi  Doctor sahab ne bola hai | STD
Kaadha pee lo | STD
Main pee loongi  mez par rakh do | STD
Abhi peeyo  hamaare saamne | STD
ola na mez par rakh do  pee loongi | STD
Mujhe maaf kar do | STD
Koi do jann aaye hain | HUM
Kya karoon | STD
Dikha do    kiraaya pahle le lena | STD
Aur kaun rehta hai yahaan | STD
Maalkin    uski tabiyat theek nahin hai | STD
Ye leejiye | STD
bistar hai  bijli bhi hai  lekin thoda chhota hai | STD
Jo bhi hai theek hai  poore shahar mein bas yahi ek bacha hai | STD
koi bhi jagah khaali nahin hai    aisa kyon | STD
Aisa nahin hai | STD
ek hotel hai | STD
dharamshaala hai | STD
Sab bhari hai | STD
Khaane ka kya hai | STD
Subah bol deejiyega  Kyonki hum to yahaan rahte nahin | STD
Door shaher mein rahte hain | STD
Hum jaayen | STD
Aap jaao | STD
Hamaara naam nahin poocha aapne | STD
Aapne bhi to hamara nahin poocha | STD
Aur isse baat pe hum chalte hain | STD
Main Singh bol raha hoon  Inspector Singh | STD
Giroh ka sardar Bajpai Kalkatta mein pakda gaya | STD
Aapko saavdhan karne ke liye phone kiya tha | STD
Bajpai ne kuboola hai ki vah dono Dalhousie mein pahunch chuke hain | STD
rahne ki jagah dhoondenge | STD
Humne saari jagah jahaan par log rah sakte hain band karva di hai | STD
Kabhi na kabhi aapke paas pahunchenge | STD
jaise hi pahunchenge aap mujhe phone kar deejiyega | STD
Aap log phail jaao | STD
Do jan aaye the Hotel pe  Humne unko bhej diya bol ke ki jagah nahi hai | STD
Chaubees Pachchis saal ke | STD
Ek dubla sa tha  Dev Anand type | STD
Bilkul | STD
Pata nahin sahab | STD
hamein to koi khabar nahin | STD
Hotel vaala bolta hai do jann aaye the | STD
yah bol rahe hain agar vah kahin nahin rah rahe hain  to gaye kahaan | STD
Aap museum se aaye hain  Dilli se | STD
Moorti le ke kaise jayenge | STD
Truck mein le ke jayenge  Dilli se truck nikal chuke hain | STD
Aap uski chinta bilkul na karein | STD
Kam se kam chhey log Delhi se bhejey gayein hain  jo moorti ke saath saath yahan se Dilli tak jayenge | STD
Aur agar aap chahein  to aapka koi aadmi bhi saath jaa sakta hai | STD
Main aur kya kar sakta hoon aapke liye | STD
Humein iske liye ek baksa banwana padega | HUM
jiske liye hum kal aa key napai kar lenge agar aapko asuvidha na ho Bas | STD
Aap bolo to thahar bhi jaate hain | STD
Kal se aa jaao | STD
aaj hum sab ko khabar karva dete hain ki aap log aa rahe ho | STD
Yah rahenge aap ke saath | STD
Kahin chhodvaana ho to hamari gaadi chhod degi | STD
Nahin uski koi zaroorat nahin  bahut bahut dhanyavaad aapka | STD
hahn vahi dono the | STD
Aap ke paas kitne log hain | STD
Baarah | STD
Sab ke paas hathyar hai | STD
Donali hai | STD
Mujhe sab chahiye | STD
Phone utha nahin rahe | STD
So rahe honge | STD
Bajpai uncle sote nahin hai | STD
Kuch gadbad hai | STD
Koi gadbad nahin hai | STD
Hai Sahab | STD
vah log vahaan se chale gaye | STD
Hamara peecha ho raha hai | STD
Poori police force baahar hai hamare liye | STD
Tum daayen jaao | STD
main baayen nikalta hoon | STD
Didi main jaa rahi hoon | STD
Sahab    Bajrangi ki haalat bahut kharaab hoti jaa rahi hai | STD
doctor ko bulva bheja hai | STD
Usse goli lagi hai aur vah zyaada door nahin jaa sakta | STD
Vah shahar mein hai | STD
ghayal hai | STD
Chaaron taraf parcha chapva kar baanto | STD
deevaron par chipakvaado | STD
Uska huliya kaisa dikhta hai | STD
mujhe ye aadmi chahiye | STD
Dhoondte raho usse jab tak mil nahin jaata | STD
ya mar nahin jaata | STD
Police ko tumne bulaaya tha | STD
Police ko tumne bulaaya tha | STD
Bajrangi nahin raha | STD
Mera dost mara hai tumhaari vajah se | STD
itni aasaani se marne nahin doonga tumhe | STD
Tumko bhi kissi ki maut ka gam ho sakta hai mujhe pata nahin tha | STD
Tumhe bahut kuch pata nahin hai | STD
Tum jaao Varun | STD
Mujhe chhupne ki jagah chahiye | STD
Vah tumhe yahaan nahin milegi | STD
Chale jaao nahin to police ko telephone kar doongi | STD
Tum nahin karogi | STD
Yah tumhaari galatfahmi hai | STD
Karna hota to bahut pahle kar chuki hoti | STD
Darwaaza band kar do Shyama | STD
Aap band kar rahe ho ya main kar doon | STD
Police vaalon ne roka tumhe | STD
kuch poocha tumse | STD
Koi savaal kiya  mere baare mein | STD
Nahin | STD
Mujhe bahlaane ki koshish mat karna | STD
Tumhaari tarah vah jhoot nahin bolti | STD
Aapki tasveer saare bazaar mein lagi hai | STD
Aapko dhoonda jaa raha hai | STD
Ek havaldar ki hatya ka aarop hai aap pe | STD
vah kah rahe hain ki aap ne apne dost ko bhi maara | STD
Tum ne Deb ko maar dala | STD
Aapko dekhte hi goli maar dene ka aadesh hai | STD
Kaun ho aap | STD
Yah Bhagwaan Vishnu ke avataar hai Shyama | STD
inke das roop aur naam hai | STD
Maine Deb ko jaanbooch ke nahin maara | STD
Vah mera dost tha  mere bhai jaisa | STD
Aur vah hawaldar | STD
Vah mujhpe goli chala rahe the | STD
Main unpe | STD
Uss ek hawaldar ko goli lagi vah marr gaya | STD
Main chor hoon  Hatyara nahin | STD
Mujhe tumhaari kissi baat pe vishwaas nahin hota Varun | STD
Main sach bol raha hoon | STD
Uss samay bhi sach bol sakte the bahut kuch bach jaata | STD
Tum na to mujhe jaanti ho Pakhi na mere baare mein | STD
Hahn  mujhe to tumhaara asli naam bhi nahin pata | STD
Deb  Bajpai uncle    main unko dhokha nahin de sakta tha | STD
Unhone paala hai mujhe  main aur Deb paida hue the  tab se | STD
tumhaare liye unka vishwaas uthaakar taalaab mein nahin dooba sakta tha | STD
Mera vishwaas dooba sakte the | STD
mere pyaar ko dhokha de sakte the | STD
Tumhe samajh mein nahin aayega | STD
tumne kuch dekha hi nahin hai | STD
Chaardeewaari mein  aisho aaraam mein rahi ho saari zindagi | STD
tumhaari samajh mein nahin aayega | STD
Khaali hai | STD
Le jaayiye usse apne saath | STD
rakh leejiye | STD
masala kootne ke kaam aayega | STD
Didi police ko telephone kar doon | STD
Tum apna kaam karo Shyama | STD
Aap kaahe usse bacha rahi hai | EUP
Pahle se jaanti hai | STD
Hahn    tum jaao | STD
Lekin | STD
Agle mahine se aadhi ho gayi toh kitni milegi? | STD
Aadhi ho gayi toh? | STD
Yeh ganit haiisko bhi samajh aati hai yahin baithe baithe kahin infinity pe jaane ki zarurat nahi hoti hai..Samjhe? | DEL
Lekin sir humne kuchh nahi kiya.. Ram kasam | DEL
600 mein kaise guzara hoga humara..? | DEL
Kya ho gaya..? | STD
Satyanaash! Ekdum garam kadhai yahan beech mein chhodh gayi! | DEL
Dekh zara haath dekh | STD
Tsk jal gaya kya? | STD
Jal gaya? Chhaala padh raha hai | STD
Tune yahan bahar kaahe ko rakhi thi? | EUP
Arre abhi teil palta tha usmey se.. | EUP
Teil palat ke yahan chhodh diya beech mein taaki sab haath senk le apne? | DEL
Lao yeh barf laga lo | STD
Achha abhi rahne de theek hai? | DEL
Chhaala padh gaya hai.. | STD
Har cheez mein kalesh! | DEL
Kya boli? Main kar rahi hoon kalesh? | DEL
Main kalesh kar rahi hoon? Zakhm padh gaya hai haath mein jitna main chup rahoon, chup rahoon, utna he sab dabao mere ko | DEL
Achhha theek hai na bhabhi ho gaya | DEL
Haan haan ho gaya iss baar agli baar ubalta tail he daal dijiyo mere sar pe theek hai? | DEL
Kyun bhai Raje babu aajkal darshan nahi hote aapke | DEL
Bhagwaan ki zarurat nahi rahi aapko? Hain? Ki vishwas hi uth gaya? Kahin naastik toh nahi ho gaye? | DEL
Nahi Pandit jee Maine ek phaisla kiya hai ki jis sach ko main dekh nahi sakta usey main nahi swikarunga. | STD
Toh kya chahte ho Bhagwaan swayam prakat ho jaaye tumhare samne? | STD
Aisa kuchh prabandh karwa sakte hain Pandit jee? | STD
Jyada sayane ho gaye ho Raje babu? | DEL
Na dharm mein vishwas rah gaya hai no ishwar mein | STD
Mujhe pass kar diya tayaji. | DEL
Wah mere bete wah! | DEL
Khao bhai munh meetha karo Itni badhiya khabar sunayi hai mere bachhe ne | DEL
Tune udhar liya hua hai? | STD
Jee chuka doonga… | STD
Nahi chuka toh tu dega hi! | DEL
Udhari ka jua nahi hota hai samjha? | DEL
Aur main jo hai bank nahi chala raha hoon chala raha hoon kya? | DEL
Tere 28,000 rupaye chadh gaye hain.. Kab dega? | DEL
Bhai apse kuchh baat karni thi.. | DEL
Nahi kuchh nahi.. Main soch raha tha ki woh..Hum log doosri koi jagah.. Shayad se.. Dekhne ki soch rahe the | STD
Kya kah raha hai? Alag honey ki kah raha hai? | DEL
Bolo na soch kya rahe the.. Itne saal toh ho gaye.. | STD 
Abhi thodha apni jagah ho toh achha hai na | STD
Kya ho gaya Rishi? Kuchh baat huyi hai? | STD
Kisi ne kuchh kah diya hai kya? | STD
Nahi bhabhi baat kuch nahi huyi hai.. Bus aise hi | DEL
Arre aise hi thodhe hi kucch hota hai. Aise hi ho gaya ? | STD
Saath rehne ka ek matlab hota hai | STD
Sub ko lagta hai pariwaar hai.. | STD
Hum ek doosre ke lagte hain kuchh.. Kuchh rishta hai.. | STD
Haan bhai rishta toh phir bhi rahega hi na | DEL
Haan lekin ek chulha hone ka maayne hai koi | EUP
Bhai lekin woh bhi ek soch hai na! | DEL
Aap toh baat karte ho anubhav ki. Toh apna anubhav dekhe, ki..? | STD
Kya taqlif ho rahi hai tere ko achanak? | HUM
Itne saal se theek tha | STD
Abhi kya anubhav ho gaya tera aisa ki ghar he chhodh ke chale jaaoge | DEL
Doosra ghar itni asani se nahi milta hai aajkal! | STD
Aaj tak toh socha nahi na in sab ke bare mein..Dekhne jaoge toh pata chalega | STD
Woh ghar pakka kar liya hai | STD
Idhar he hai Hukma halwai ke peechhey wali gulli mein.. Paas he hai | DEL
Kab jaa rahe ho..? | STD
Itwaar ko.. | DEL
Theek hai phir sub kuchh soch he liya hai tumne toh theek hai phir jao.. | DEL
Poochh nahi rahe the bata rahe the.. | DEL
Aa gaye thele waale.. | DEL
Aa he jayenge kah rahe hain jaldi haath chalao thodha.. | EUP
Suno bahu.. | DEL
Uss din hum tum par chilla diye the, isliye ghar chhodh ke jaa rahe ho kya tum log? | EUP
Nahi bhabhi woh baat nahi hai. |  DEL
Toh phir kaun si baat hai bolo..! Dekho koyi galti ho gayi ho, toh hum haath jod ke maafi maang rahe hain tumse.. | EUP
Arre bhabhi kyun humarey sar pe paap chadha rahi ho? Maafi hum aapse mangenge ki aap mangogi humse.. | EUP
Toh phir kyun jaa rahe ho tum log..? | DEL
Pata nahi hai tumko inka kya haal hoga | DEL
Aise koi aadhe mein haath chhodh ke alag ho jaata hai kya? | DEL
Arey bhabhi kahan jaa rahein hum? | DEL
Idhar hi toh hai na jor se awaaz bhi dogi toh sunayi padh jayegi | DEL
Bula lena kabhi bhi aadhi raat ko bhi, aa jaayenge. | DEL
Aise rokey bhejogi..? | DEL
Khush raho tum log khoob phoolo phalo.. | DEL
Jaa rahe ho? Achha hai, achha hai khush raho beta.. | DEL
Achha bhai aata hoon.. | DEL
Arre jaa rahein hain.. | DEL
Toh kya karoon, naachun? | DEL
Chal chal raasta naap apna! Tera kaise ho gaya kamra? | DEL
Kyunki main pahle thi line mein.. | DEL
Suno Miss paraya dhan abhi thodhe time mein tum bhi chhodh chhaadh ke chali jaaogi.. | DEL
Toh tab aa jaiyo na yahan abhi toh rahne de, please.. Bhai nahi hai tu mera? | DEL
Chal achha, yeh raag kisi aur ko sunana.. | DEL
Main jaake Bauji ko bolti hoon. | STD
Ab aaiyo tu chai maangne mere se.. | DEL
So jao kal subah uth ke phir matam mana lena! | STD
Hello.. haan kaun? Haaan ek minute | DEL
Kyun bhai aaj kya haal hai? Aap kyun udaas ho bhai? | DEL
Theek hai na, chalta hai, sardi phir garmi phir basant yeh toh tumsey behtar kaun jaanta hai? | STD
Aur tum Bhaiya..? | DEL
Achha yeh jo tumhari prem kahaniya bikhar gayi hai unhe utha loon? | STD
Bahut bahut dhanyawaad.. | STD
Kuchh bole tere Bauji? | DEL
Toh tu poochh le na unsey.. | STD
Tere ko samajh mein nahi aata kya kuchh? | DEL
Tere ko bataya na Chacha ghar chhodh ke chale gaye hain.. | DEL
Toh Bauji ekdum akeley padh gaye hain Samjha? | DEL
Aur phir main bhi chhodh ke chali jaoon unko? Unsey bardaasht hi nahi hoga.. | STD
Toh phir humaara kya hoga? | STD
Kuchh nahi hoga. Aise hi shopping kar ke timepass karenge aur kya. | DEL
Abhi sado mat Jo hai so bata rahi hoon | DEL
Meri marzi nahi chalti hai har cheez mein | DEL
Bauji koyi koyi kahta hai ki ek gyaan hota hai jo ki paidaish se saath rahta hai anubhav ke parey. | STD
aise ki kachua baalu par nikalta hai andey se aur nikalte he samudra ki taraf bhaagta hai | STD
Cheel aur baaz se bachne ke liye | STD
Lekin! Usey yeh kaise pata hai ki samudra mein pahunch ke woh surakshit hoga Woh toh abhi paida hi hua hai na. | STD
Achha jee aisa hota hai..? Yeh toh achambhe ki baat hai | STD
Toh Bauji Kya kahte ho aap? | DEL
Bhai jaisi jiski marzi.. | DEL
Yeh achhi kahi.. Haan..? Ha ha jaisi jiski marzi | DEL
Dekh rahe ho? Teen din ho gaye hain, aise he chalta ja raha hai utt patang bakk bakk bakk bakk | DEL
Haan dikhaya na dawai di hai | DEL
Doctor ko dikhaya? | STD
Kaun si dawai? | STD
Ek laal hai ek nili hai | STD
Inse bol pistaulein phenk de | HUM
Pehle tum phenko | STD
Naa Pehle tum phenkoge | STD
Woh nahi ho sakta | STD
Toh phir theek hai  Khade raho aise | STD
Jaan bhai bahot zor se aaya hai | STD
Khada reh bhainchod | DEL
Jaan bhai kasam se Nikal jayega | HUM
Italvi sahab Kya kehte hain | HUM
Durust Aur unhone agar hamein chuna toh aap hamari qaid se azaad | HUM
Aur nahi chuna toh | HUM
Toh apne jism kee qaid se | HUM
Jaan Mohammad smiles benevolently | HUM
Aapko yahan aane ki ijazat kisne dee | HUM
Dil ne | STD
Chaliye | HUM
Nahi Aap wapas aaiye | HUM
Jee | HUM
Jee Waapas aa jaiye Raqs mein | HUM
Dekhiye aapko kuch galatfahmi | HUM
Kyun khud pe itna zulm dha rahi | HUM
hain aap | HUM
Jagaye saari raina Nigode naina churaye chaina yaad hai | EUP
Wajah jaane bina hum hilenge nahi | HUM
yahan se Begum  Kyon aapne uss Para ka qatl kar diya jiski har saans nach thee Kahan gayee wo Para | HUM
Jise humne pachchees baras pehle | HUM
dekha tha  Bhopal mein | HUM
Town haal aaditorium ke manch par | STD
Aapke guru Birju Maharaj bhi aaye thay | STD
Aap uss shaam naachte naachte khud naach ho gayee thee | STD
Kahan hai woh Para | HUM
Kab tak andhere mein chhupega | HUM
buddhe Main bhee yahin baitha hoon Subere tere nau lakh tukde kar ke cheel kauvvon ko breakfast mein khilaunga  | STD
Sun raha hai | STD
Aise kauvvon kee tarah kaaen kaaen | HUM
karega toh kabhi nahi sununga Saari tameez tehzeeb itvaar ke penth mein bech aaya hai | HUM
Phoon pe kyun baat kar rahe ho | HUM
Babban looks around and spots Khalujan sitting on top of a minaret | HUM
Teri incoming toh free hai  paise | STD
hamare lag rahe hain Hum Nawab hain ladte bhee hain toh adab se | HUM
Jhooth kyun bola tumne | HUM
Jhooth kahan bola  Haan  sach nahi | HUM
bataya | STD
Tumne bola tha kee tum naali mein giray thay aur haar wohin gir gaya tha | STD
Sach  Haar wohin gir gaya tha  Phir hum naali me se gir ke uthe aur haar phir utha liya | HUM
Tum neeche toh aao main tumhe duniya se utha doonga | STD
Dekh Sharafat dekh tu meri | HUM
Chahta toh sote mein halaak kar deta tujhe par main tujhe pyaar karta hoon apne bete kee tarah | HUM
Tabhi mujhe chhakka banane ke liye | STD
chhod aaye thay | STD
Chhod aaye thay chhod aaye thay Chup Aur bas sun | STD
Aadha ghante se oopar ho riya hai  Kahin guzar toh nahi gaye Hakeem sahab | HUM
Muaamlaat ka taalluk dil ki | HUM
shiriyaaniyon se hai  Gamzadaa ho barkhurdaar  bachpan kee koi chot koi qadeem afsos | HUM
Khush o khurram raho miyan wohi tumhari dawa hai | HUM
Tum mareez e ishq ho  kahin dil vil lagao saari kanpkanpi gaayab ho jayegi khud ba khud | HUM
Main aaj tak sirf doosron ke liye | STD
jiya hoon  Kabhi abba  kabhi teri khala kabhi Mushtaq bhai kabhi jiji aur phir tu Apne baare mein toh kabhi socha hee nahi | HUM
Phir khayal aaya ke jaate jaate ek baar toh apne liye jee lo Iftekhar miya | HUM
Main khud ko khush nahi rakhunga toh kisi ko khush nahi rakh sakta Tujhe bhi nahi Samjha | HUM
Aur hamari nunniyaan Unka kya hoga | HUM
Haar tohfe mein diya hai humne | HUM
Lekin haar koi chori kar le toh hamari zimmedari thode hee hai | HUM
Aur phir hamne suna hai Begum kee | HUM
tijori dus naulakhe aur hazaar sonay kee asharfiyon se bhari hui hai | HUM
Salaam waleikum Main Nawab sahab ko dhoond raha tha | HUM
Raat ki sair pe nikle aur abhi tak wapas nahi aaye | HUM
Phir maine dekha ki ye phool daan girne wala hai | HUM
Main dauda tak bak tak bak aur dekho tootne se bacha liya phool daan | HUM
Toot jaata toh kya hota bhala | HUM
Bhadaam Kar ke bajta itne sannate | HUM
mein toh sab jaag jaate na pagli | HUM
Kismat hai teri ki sab soye hain | HUM
Bus mujhe chhodkar | STD
Toh sula doon tujhe  Hamesha ke liye | STD
Zabaan jabde ke andar rakhiyo apni varna kaat doonga | HUM
Kaat | STD
Zindagi mein pehli baar main tay nahi kar paa raha hoon | STD
Kya | STD
Kee aaj maine lee hai kee dee hai | STD
Chal utth Subah hone ko hai Jaana | HUM
nahi hai | HUM
Gaadi chaleyga | HUM
Chalaoonga | STD
Kya karega | STD
Nai nai nai nai Iss baar nai phansne wala main Na na | STD
Waise bhi tujhse hoga bhi nahi | STD
Pradeson ki police doondh rahee | STD
