Thodi savdhaani baratne mein aap hi ka faayda hai | STD
Varun Shrivastav ka asli naam kya hai kissi ko nahin pata | STD
kabhi vah Narayan Maurya hota hai  kabhi | STD
Mohan Das | STD
Debdas Mukherjee ke bhi kayi naam hai | STD
Madan  Tony aur pata nahin kaun kaun se | STD
Daroga Babu sirf aapki madad karna chah rahe the | STD
Ek chhitthi likhiye hamari taraf se | STD
Ki Pakhi ka vivaah humne sthaagit kar diya hai | STD
Aur maafi maang leejiye | STD
Jo mann mein aaye likh deejiye | STD
aur hamein akela chhod dein aap | STD
Kal yadi samay nikaal kar ek nazar hisaab par | STD
Mujhe maf karo do | STD
Maafi to mujhe maangni chahiye beti | STD
ek cheez maangi tumne vah bhi nahin de paaya | STD
Kuch nahin to kam se kam tumhe hi saath le jaata | STD
Sab kuch aapke naam chhodkar gaye hain | STD
Kya karna hai beti | STD
Didi khaana kha lo | STD
Main kar loongi Shyama | STD
unko chhod do | STD
Main kya karoon phir | STD
Tum jaao | STD
Pakhi ji  aap jitni achchi tarah Varun ko jaanti thi  koi aur nahin jaanta | STD
Aap agar madad nahin karengi to unke giroh ko pakadna mushkil ho jaayega | STD
Jo Manikpur mein hua aapke saath vah kayi auron ke saath ho chuka hai | STD
Iss giroh ne lakhon  karodon churayen hain zamindaron  raja maharajaon se | STD
kai parivar khatam ho gaye hain | STD
tod diye hain in logon ne  Sirf akele Roychowdhury sahab ki maut ke zimmedar nahin hai ye | STD
Mere baba isiliye nahin marre kyonki unhe kissi ne loot liya | STD
Vah Varun ne unka dil toda tha | STD
Unko dhokha diya tha | STD
Vah us pe bahut vishwas karte the | STD
Aur agar vah marre nahin hote to vah bhi yahi chahte ki Varun ko uske kiye ki sazaa mille | STD
Aap madad karengi to hum unko pakad sakte hain | STD
Mujhe usse badla nahin lena hai | STD
Singh sahab  Main sirf usse bhoolna chahti hoon | STD
Agar aapko meri zaroorat pade ya aap ko kuch yaad aa jaaye jo aap bataana chahe to operator ko bol ke aap yahaan phone kar sakti hain  | STD
Main jaoon | STD
Khaana dhak ke rakh liya hai | STD
Thanda hone se pahle kha lena | STD
Aapne subah se kuch nahin khaaya hai | STD
Inspector  Singh se baat ho sakti hai | STD
Usne ek baar bataaya tha ki Jandrighat ke raja ke mahal mein ek paanch sau saal puraani Ganesh ki sone ki murti hai | STD
Khaali guest house kiraye pe uplabd hai | STD
Pakhi    meri baat sun rahi ho | STD
Kissi garam jagah jaakar rahna chahiye tumhe | STD
zyaada jeeyogi | STD
Marna to hai hi ek din doctor uncle | STD
kya karoongi ji kar | STD
Ek aur kitaab likh sakogi | STD
Jo likh rahi hoon  ussi mein hi saari zindagi khatam ho jaati hai | STD
hai    jaanleva hai | HUM
kitni bhi zidd kare akele mat chhodna  | STD
Hum to lad lad kar ro ro kar thak jaate hain | STD
Jab vah akele rehna chahti hai to baahar dhakel deti hai  sunti kahan hai | STD
Tum bhi vaapas unko andar dhakel diya karo    aur kaadha pilaate raho | STD
Kaadha pee lo didi  Doctor sahab ne bola hai | STD
Kaadha pee lo | STD
Main pee loongi  mez par rakh do | STD
Abhi peeyo  hamaare saamne | STD
ola na mez par rakh do  pee loongi | STD
Mujhe maaf kar do | STD
Koi do jann aaye hain | HUM
Kya karoon | STD
Dikha do    kiraaya pahle le lena | STD
Aur kaun rehta hai yahaan | STD
Maalkin    uski tabiyat theek nahin hai | STD
Ye leejiye | STD
bistar hai  bijli bhi hai  lekin thoda chhota hai | STD
Jo bhi hai theek hai  poore shahar mein bas yahi ek bacha hai | STD
koi bhi jagah khaali nahin hai    aisa kyon | STD
Aisa nahin hai | STD
ek hotel hai | STD
dharamshaala hai | STD
Sab bhari hai | STD
Khaane ka kya hai | STD
Subah bol deejiyega  Kyonki hum to yahaan rahte nahin | STD
Door shaher mein rahte hain | STD
Hum jaayen | STD
Aap jaao | STD
Hamaara naam nahin poocha aapne | STD
Aapne bhi to hamara nahin poocha | STD
Aur isse baat pe hum chalte hain | STD
Main Singh bol raha hoon  Inspector Singh | STD
Giroh ka sardar Bajpai Kalkatta mein pakda gaya | STD
Aapko saavdhan karne ke liye phone kiya tha | STD
Bajpai ne kuboola hai ki vah dono Dalhousie mein pahunch chuke hain | STD
rahne ki jagah dhoondenge | STD
Humne saari jagah jahaan par log rah sakte hain band karva di hai | STD
Kabhi na kabhi aapke paas pahunchenge | STD
jaise hi pahunchenge aap mujhe phone kar deejiyega | STD
Aap log phail jaao | STD
Do jan aaye the Hotel pe  Humne unko bhej diya bol ke ki jagah nahi hai | STD
Chaubees Pachchis saal ke | STD
Ek dubla sa tha  Dev Anand type | STD
Bilkul | STD
Pata nahin sahab | STD
hamein to koi khabar nahin | STD
Hotel vaala bolta hai do jann aaye the | STD
yah bol rahe hain agar vah kahin nahin rah rahe hain  to gaye kahaan | STD
Aap museum se aaye hain  Dilli se | STD
Moorti le ke kaise jayenge | STD
Truck mein le ke jayenge  Dilli se truck nikal chuke hain | STD
Aap uski chinta bilkul na karein | STD
Kam se kam chhey log Delhi se bhejey gayein hain  jo moorti ke saath saath yahan se Dilli tak jayenge | STD
Aur agar aap chahein  to aapka koi aadmi bhi saath jaa sakta hai | STD
Main aur kya kar sakta hoon aapke liye | STD
Humein iske liye ek baksa banwana padega | HUM
jiske liye hum kal aa key napai kar lenge agar aapko asuvidha na ho Bas | STD
Aap bolo to thahar bhi jaate hain | STD
Kal se aa jaao | STD
aaj hum sab ko khabar karva dete hain ki aap log aa rahe ho | STD
Yah rahenge aap ke saath | STD
Kahin chhodvaana ho to hamari gaadi chhod degi | STD
Nahin uski koi zaroorat nahin  bahut bahut dhanyavaad aapka | STD
hahn vahi dono the | STD
Aap ke paas kitne log hain | STD
Baarah | STD
Sab ke paas hathyar hai | STD
Donali hai | STD
Mujhe sab chahiye | STD
Phone utha nahin rahe | STD
So rahe honge | STD
Bajpai uncle sote nahin hai | STD
Kuch gadbad hai | STD
Koi gadbad nahin hai | STD
Hai Sahab | STD
vah log vahaan se chale gaye | STD
Hamara peecha ho raha hai | STD
Poori police force baahar hai hamare liye | STD
Tum daayen jaao | STD
main baayen nikalta hoon | STD
Didi main jaa rahi hoon | STD
Sahab    Bajrangi ki haalat bahut kharaab hoti jaa rahi hai | STD
doctor ko bulva bheja hai | STD
Usse goli lagi hai aur vah zyaada door nahin jaa sakta | STD
Vah shahar mein hai | STD
ghayal hai | STD
Chaaron taraf parcha chapva kar baanto | STD
deevaron par chipakvaado | STD
Uska huliya kaisa dikhta hai | STD
mujhe ye aadmi chahiye | STD
Dhoondte raho usse jab tak mil nahin jaata | STD
ya mar nahin jaata | STD
Police ko tumne bulaaya tha | STD
Police ko tumne bulaaya tha | STD
Bajrangi nahin raha | STD
Mera dost mara hai tumhaari vajah se | STD
itni aasaani se marne nahin doonga tumhe | STD
Tumko bhi kissi ki maut ka gam ho sakta hai mujhe pata nahin tha | STD
Tumhe bahut kuch pata nahin hai | STD
Tum jaao Varun | STD
Mujhe chhupne ki jagah chahiye | STD
Vah tumhe yahaan nahin milegi | STD
Chale jaao nahin to police ko telephone kar doongi | STD
Tum nahin karogi | STD
Yah tumhaari galatfahmi hai | STD
Karna hota to bahut pahle kar chuki hoti | STD
Darwaaza band kar do Shyama | STD
Aap band kar rahe ho ya main kar doon | STD
Police vaalon ne roka tumhe | STD
kuch poocha tumse | STD
Koi savaal kiya  mere baare mein | STD
Nahin | STD
Mujhe bahlaane ki koshish mat karna | STD
Tumhaari tarah vah jhoot nahin bolti | STD
Aapki tasveer saare bazaar mein lagi hai | STD
Aapko dhoonda jaa raha hai | STD
Ek havaldar ki hatya ka aarop hai aap pe | STD
vah kah rahe hain ki aap ne apne dost ko bhi maara | STD
Tum ne Deb ko maar dala | STD
Aapko dekhte hi goli maar dene ka aadesh hai | STD
Kaun ho aap | STD
Yah Bhagwaan Vishnu ke avataar hai Shyama | STD
inke das roop aur naam hai | STD
Maine Deb ko jaanbooch ke nahin maara | STD
Vah mera dost tha  mere bhai jaisa | STD
Aur vah hawaldar | STD
Vah mujhpe goli chala rahe the | STD
Main unpe | STD
Uss ek hawaldar ko goli lagi vah marr gaya | STD
Main chor hoon  Hatyara nahin | STD
Mujhe tumhaari kissi baat pe vishwaas nahin hota Varun | STD
Main sach bol raha hoon | STD
Uss samay bhi sach bol sakte the bahut kuch bach jaata | STD
Tum na to mujhe jaanti ho Pakhi na mere baare mein | STD
Hahn  mujhe to tumhaara asli naam bhi nahin pata | STD
Deb  Bajpai uncle    main unko dhokha nahin de sakta tha | STD
Unhone paala hai mujhe  main aur Deb paida hue the  tab se | STD
tumhaare liye unka vishwaas uthaakar taalaab mein nahin dooba sakta tha | STD
Mera vishwaas dooba sakte the | STD
mere pyaar ko dhokha de sakte the | STD
Tumhe samajh mein nahin aayega | STD
tumne kuch dekha hi nahin hai | STD
Chaardeewaari mein  aisho aaraam mein rahi ho saari zindagi | STD
tumhaari samajh mein nahin aayega | STD
Khaali hai | STD
Le jaayiye usse apne saath | STD
rakh leejiye | STD
masala kootne ke kaam aayega | STD
Didi police ko telephone kar doon | STD
Tum apna kaam karo Shyama | STD
Aap kaahe usse bacha rahi hai | EUP
Pahle se jaanti hai | STD
Hahn    tum jaao | STD
Lekin | STD
Ye mera kuch nahin bigaad sakte | STD
Nandan    Varun bol raha hoon | STD
Varun    jahaan bhi ho gaayab ho jaao | STD
Police ne sabko pakad liya hai  poora giroh khatam ho gaya hai | STD
Nandan    Nandan    Deb mar gaya hai | STD
Mujhe bhi goli lagi hui hai | STD
Mujhe yahaan se nikaalo | STD
Bajpai uncle phone nahin utha rahe | STD
Bajpai uncle pakde gaye | STD
Ram aur Gupta ji ko to goli mar di hai | STD
Lucknow mein  Rai Bareilly mein  Bastar mein  har koi pakda gaya hai | STD
inko sab kuch pata tha | STD
Mujhe yahaan se nikaalo Nandan | STD
Kal milo mujhe Lakkadmandi mein subah aath baje | STD
Theek hai | STD
Samay se pahunch jaana | STD
Main ek minute intezaar karoonga bas | STD
abhi ghadi milaao | STD
Abhi baj rahe hain saat taintees | STD
Main kal chala jaoonga | STD
Aaj raat yahin rukoonga | STD
tum chaaho to police to phone kar sakti ho | STD
Mujhe yadi phone karna hoga to tumse poochne ki zaroorat nahin hai | STD
Main bas kah raha hoon | STD
Mat kaho | STD
Zamindar babu Guzar gaye | HUM
Kaise | STD
Tumne unhe maar daala | STD
Jaise tumne Deb ko maara | STD
tumhaari galti nahin thi | STD
Mujhe | STD
Tumhe unki maut ka koi afsos nahin | HUM
Khaana didi ne nahin bheja hai  hum khud laaye hain | STD
Hum ghar jaa rahe hain | STD
Police ko kuch nahin bataayenge | STD
bas aap didi ko kuch mat karna | STD
Sab kuch peeche chhodkar aayi thi main yahaan  sab bhool jaane | STD
pata nahin kyon tum vaapas aa gaye | STD
aur pata nahin kyon maine aane diya | STD
kyon jab tum so rahe hote ho to main gala ghont ke maar nahin daalti | STD
mazaa aa raha hai tumhe dekh kar ki main kis haalat mein hoon | STD
Vah ped dekh rahe ho | STD
Usse raat din taakti rahti hoon jaise vah koi tota ho | STD
meri zindagi hai | STD
roz uske patte girte hue dekhti rahti hoon | STD
Jis din vah ped nanga hua aur jis waqt uski aakhri patti girri | STD
main apni aakhri saans loongi | STD
yahaan iss haalat mein la chhoda hai tumne mujhe | STD
Yah jaankar shaayad thodi sharam aaye tumhe jeene mein | STD
lekin mujhe pata hai tumhe kya farak padhta hai | STD
tum usse bhi apne aap ko chhupa loge | STD
Baahar abhi bhi bahut garam hai | STD
Mujhe kuch din aur yahaan rehna padega | STD
Chai | STD
Mukhe tumhaari chai nahin peeni | STD
To kya karna hai  Marna hai | STD
Hahn marna hai | STD
tum jaao yahaan | STD
se aur mujhe marne do shaanti se | STD
Shyama ke hote hue shaanti se marna mushkil hoga | STD
Kya jataane ki koshish kar rahe ho tum | STD
Kuch nahin | STD
Jab karna chahiye tha tab Bhaag gaya tha | STD
aur log the tumhaare chaaron taraf | STD
Mujhe pata hai tumhe kya chahiye | STD
Kya | STD
Ek baar se mann nahin bhara phir se | STD
Kya karoon    tum to hi itni haseen | STD
Main mazak nahin kar rahi hoon | STD
Mujhe to aata hi nahin mazaak karna | STD
Tum jaao yahaan se | STD
Mera naam mat lo | STD
Cheekho mat malkin | STD
vaapas daura pad jaayega | STD
Yahi to chahte ho tum  ki mujhe daura pad jaaye | STD
Dekha | STD
Tum | STD
Chhup | STD
Kabhi kabhi to sochti hoon tumhe jaan se maar daaloon | STD
itni nafrat hoti hai mujhe tumse | HUM
lekin itni taakat nahin bachi hai mujh mein | STD
mujhe bas ab mukti chahiye Varun tumse  apne aap se  iss zindagi se    sabse | STD
Mujhe pata hai Namita  Bhagwat ki chhuttiyan chal rahi hai | STD
kya karoon | STD
nahin mujhe usse nahin baat karni | STD
Hahn bete  kaise ho | STD
Main Dalhousie mein hoon | STD
nahin tum yahaan nahin aa sakte | STD
main yahaan kyon hoon | STD
Aap so jaao | STD
Sota hoon to sapne mein aata hai | STD
chidhaata hai saala | STD
tum so jaao  main jaga hoon | STD
Usse goli lagi hai  ho sakta hai mar gaya go | STD
Marega to kissi na kissi ko to dikhega | STD
aur yadi kissi aise jagah mara hai jahaan dikh nahin sakta to insaani shaeer hai | STD
marta ha to sadta hai    sadta ha to badboo aati hai | STD
Hahn lekin baraf bhi to gir rahi hai | STD
Usmein boo nahin aati | STD
Tumne kabhi bhi mujhse pyaar kiya tha | STD
Mere saath hi aisa kyon kiya | STD
Jaanbooch ke kuch nahin kiya maine | STD
Main jab Manikpur aaya tha mujhe nahin pata tha tumse takkar hogi | STD
jab pahli baar tumhe dekha tha to thodi der ke liye laga tha main mar gaya hoon | STD
Phir mujhe nahin pata tha tum Zamindar babu ki beti niklogi | STD
Main chori karne aaya tha | STD
aur parivar mein ghusna isiliye pada kyonki pata karna tha kya kya hai jo chori kiya ja sakta hai | STD
ye mera kaam hai | STD
Jab maine dekha ki tum mujhse pyaar karne lagi ho to maine kayee baar rokne ki koshish ki | STD
Lekin nahin roka gaya | STD
Phir Bajpai uncle to pata chala | STD
unhone Bola main kaun hoon | STD
kya karta hoon | STD
tumhe pata chala to tum kya phir bhi pyaar kar sakogi | STD
Tumne abhi bhi mere savaal ka jawaab nahin diya | STD
tumne kabhi bhi mujhse pyaar kiya tha | STD
Andar aa sakta hoon | STD
Main seedha kaam ki baat par aata hoon | STD
Aap ne usse dekha  Ya Milli | STD
Main usse kyon miloongi | STD
Hahn | STD
aapne bola tha vah aane vaala hai | STD
aaya nahin | STD
guesthouse khaali hai | STD
board abhi bhi baahar laga hai | STD
Phir bhi vah aapke guesthouse mein rah raha tha | STD
Nahin | STD
Main andar dekh sakta hoon | STD
Abhi to nahin hai | STD
kal laakar dikha sakta hoon | STD
To phir kal hi aayiyega Singh sahab andar dekhne | STD
Aap usse bachaane ki koshish kyon kar rahi hain | STD
Main kissi ko bachaane ki koshish nahin kar rahi hoon | STD
Ye vahi aadmi hai jiski vajah se aapke pitaji ki maut hui | STD
aur hamaare ek havaldaar ki    goli maar ke hatya ki hai usne | STD
Jiss din pakda jaayega ya to usse phaansi par latka denge ya utha kar jail mein phenk denge | STD
baaki saaari zindagi ke liye | STD
Kal main vaapas aaoonga warrant ke saath | STD
aur dus police vaale bhi honge mere saath | STD
jinko main baahar chhodkar jaa raha hoon | STD
agar usne raat ko yahaan se bhaagne ki koshish ki to ye usse goli maar denge | STD
nahin to kal main maar doonga Agar vah zinda milla to | STD
Kya matlab | STD
Ho sakta uss raat jo goli maine usse maari ho ussi se mar gaya ho | STD
Dhanyavaad Singh sahab | STD
Main jaakar aaraam karoon | STD
Meri tabiyat theek nahin hai | STD
Tumne mujhe bataya kyon nahin ki tumhe goli lagi huyi hai | STD
Mera asli naam pata hai kya hai | STD
Kya | STD
Hanste hue achchi lagti ho | STD
Vah  Singh tumhe maar daalega | STD
Deb hota to pata hai kya kehte | STD
Kya | STD
Aisa koi  Singh ya Rahman paida nahin hua jo Dev Anand ka baal bhi baanka kar sake | STD
Tum Dev Anand nahin ho | STD
Vah mujhe choo bhi nahin paayega | STD
isse bade bade chakravyuhon se nikla hoon | STD
Vah kal warrant le kar aa raha hai | STD
Main raat ko chala jaoonga | STD
Kahaan jaaoge | STD
Pata nahin    Chandratal | STD
Aur phir  Vaapas apni duniya mein | STD
Meri duniya to khatam ho chuki hai | STD
koshish karoonga tumhaari duniya mein aane ki | STD
Mujhse moonh mat modo Pakhi | STD
Meri taraf dekho | STD
Mujhe pata hai tumhe meri kissi baat pe vishwaas nahin hai | STD
lekin aaj main jhoot nahin bol raha hoon | STD
maine tumhaare aur Zamindar babu ke saath jo kiya uske liye kabhi khud ko maaf nahin kar sakta | STD
vah hak sirf tumhaara hai | STD
lekin main nafrat karta hoon apne aap se | STD
Aur shayad jab tak jeeyoonga tab tak karta rahoonga | STD
Tumne kabhi mujhse pyaar kiya tha ya nahin varun | STD
Kiya tha  bahut kiya tha | STD
abhi bhi karta hoon | STD
tum ek iklauta mauka thi meri zindagi mein jeene ka jo maine gava diya | STD
meri zindagi mein sabne mujhe istemaal kiya hai | STD
pyaar sirf tumne kiya | STD
izzat sirf Zamindar babu ne di | STD
aur uski keemat nahin chuka paaya | STD
Jo tum ji rahi ho yahaan vah tumhaari zindagi nahin hai | STD
uss aakhri ek patte ke saath zindagi jodkar rakhi hai | STD
jo sahi nahin hai | STD
vah tumhaara tota nahin hai | STD
Aur agar vah aakhri patti gir gayi to | STD
Nahin giregi | STD
Kiske liye jiyoon main | STD
Apne liye | STD
tum likhna chahti ho na | STD
tum bahut khoobsoorat likhti ho | STD
likho  bataao duniya ko ki kaise ehsaan faramosh log bhi hain unke beech | HUM
Main akele nahin rah sakti Varun | STD
Tum kabhi akele nahin rahogi | STD
yah mera vaada hai | STD
Vah bhaag gaya Singh sahab | STD
Mujhe pata hai | STD
Aapko pata hai | STD
vah painter banna chahta tha | STD
aur usse pattiyan banana bhi nahin aata tha | STD
Usne aakhirkaar apna masterpiece bana hi diya | STD
Hahn didi | STD
Bhook lagi hai | STD
Pata nahin vah kahaan chala gaya tha | STD
Pata nahin vah yahaan Chandratal pe kab aayega | STD
lekin mujhe pata hai | STD
Ek din vah aayega  aur hum zaroor milenge | STD
kyonki main yahaan baithi uska intezaar kar rahi hoon | HUM
